,parents,has_nurs,form,children,housing,finance,social,health,class
29,usual,proper,complete,1,less_conv,inconv,nonprob,not_recom,not_recommend
30,usual,proper,complete,1,less_conv,inconv,slightly_prob,recommended,recommend
31,usual,proper,complete,1,less_conv,inconv,slightly_prob,priority,recommend
32,usual,proper,complete,1,less_conv,inconv,slightly_prob,not_recom,not_recommend
33,usual,proper,complete,1,less_conv,inconv,problematic,recommended,recommend
34,usual,proper,complete,1,less_conv,inconv,problematic,priority,recommend
35,usual,proper,complete,1,less_conv,inconv,problematic,not_recom,not_recommend
36,usual,proper,complete,1,critical,convenient,nonprob,recommended,recommend
37,usual,proper,complete,1,critical,convenient,nonprob,priority,recommend
38,usual,proper,complete,1,critical,convenient,nonprob,not_recom,not_recommend
39,usual,proper,complete,1,critical,convenient,slightly_prob,recommended,recommend
40,usual,proper,complete,1,critical,convenient,slightly_prob,priority,recommend
41,usual,proper,complete,1,critical,convenient,slightly_prob,not_recom,not_recommend
42,usual,proper,complete,1,critical,convenient,problematic,recommended,recommend
43,usual,proper,complete,1,critical,convenient,problematic,priority,recommend
44,usual,proper,complete,1,critical,convenient,problematic,not_recom,not_recommend
45,usual,proper,complete,1,critical,inconv,nonprob,recommended,recommend
46,usual,proper,complete,1,critical,inconv,nonprob,priority,recommend
47,usual,proper,complete,1,critical,inconv,nonprob,not_recom,not_recommend
48,usual,proper,complete,1,critical,inconv,slightly_prob,recommended,recommend
49,usual,proper,complete,1,critical,inconv,slightly_prob,priority,recommend
50,usual,proper,complete,1,critical,inconv,slightly_prob,not_recom,not_recommend
51,usual,proper,complete,1,critical,inconv,problematic,recommended,recommend
52,usual,proper,complete,1,critical,inconv,problematic,priority,recommend
53,usual,proper,complete,1,critical,inconv,problematic,not_recom,not_recommend
54,usual,proper,complete,2,convenient,convenient,nonprob,recommended,recommend
55,usual,proper,complete,2,convenient,convenient,nonprob,priority,recommend
56,usual,proper,complete,2,convenient,convenient,nonprob,not_recom,not_recommend
57,usual,proper,complete,2,convenient,convenient,slightly_prob,recommended,recommend
58,usual,proper,complete,2,convenient,convenient,slightly_prob,priority,recommend
59,usual,proper,complete,2,convenient,convenient,slightly_prob,not_recom,not_recommend
60,usual,proper,complete,2,convenient,convenient,problematic,recommended,recommend
61,usual,proper,complete,2,convenient,convenient,problematic,priority,recommend
62,usual,proper,complete,2,convenient,convenient,problematic,not_recom,not_recommend
63,usual,proper,complete,2,convenient,inconv,nonprob,recommended,recommend
64,usual,proper,complete,2,convenient,inconv,nonprob,priority,recommend
65,usual,proper,complete,2,convenient,inconv,nonprob,not_recom,not_recommend
66,usual,proper,complete,2,convenient,inconv,slightly_prob,recommended,recommend
67,usual,proper,complete,2,convenient,inconv,slightly_prob,priority,recommend
68,usual,proper,complete,2,convenient,inconv,slightly_prob,not_recom,not_recommend
69,usual,proper,complete,2,convenient,inconv,problematic,recommended,recommend
70,usual,proper,complete,2,convenient,inconv,problematic,priority,recommend
71,usual,proper,complete,2,convenient,inconv,problematic,not_recom,not_recommend
72,usual,proper,complete,2,less_conv,convenient,nonprob,recommended,recommend
73,usual,proper,complete,2,less_conv,convenient,nonprob,priority,recommend
74,usual,proper,complete,2,less_conv,convenient,nonprob,not_recom,not_recommend
75,usual,proper,complete,2,less_conv,convenient,slightly_prob,recommended,recommend
76,usual,proper,complete,2,less_conv,convenient,slightly_prob,priority,recommend
77,usual,proper,complete,2,less_conv,convenient,slightly_prob,not_recom,not_recommend
78,usual,proper,complete,2,less_conv,convenient,problematic,recommended,recommend
79,usual,proper,complete,2,less_conv,convenient,problematic,priority,recommend
80,usual,proper,complete,2,less_conv,convenient,problematic,not_recom,not_recommend
81,usual,proper,complete,2,less_conv,inconv,nonprob,recommended,recommend
82,usual,proper,complete,2,less_conv,inconv,nonprob,priority,recommend
83,usual,proper,complete,2,less_conv,inconv,nonprob,not_recom,not_recommend
84,usual,proper,complete,2,less_conv,inconv,slightly_prob,recommended,recommend
85,usual,proper,complete,2,less_conv,inconv,slightly_prob,priority,recommend
86,usual,proper,complete,2,less_conv,inconv,slightly_prob,not_recom,not_recommend
87,usual,proper,complete,2,less_conv,inconv,problematic,recommended,recommend
88,usual,proper,complete,2,less_conv,inconv,problematic,priority,recommend
89,usual,proper,complete,2,less_conv,inconv,problematic,not_recom,not_recommend
90,usual,proper,complete,2,critical,convenient,nonprob,recommended,recommend
91,usual,proper,complete,2,critical,convenient,nonprob,priority,recommend
92,usual,proper,complete,2,critical,convenient,nonprob,not_recom,not_recommend
93,usual,proper,complete,2,critical,convenient,slightly_prob,recommended,recommend
94,usual,proper,complete,2,critical,convenient,slightly_prob,priority,recommend
95,usual,proper,complete,2,critical,convenient,slightly_prob,not_recom,not_recommend
96,usual,proper,complete,2,critical,convenient,problematic,recommended,recommend
97,usual,proper,complete,2,critical,convenient,problematic,priority,recommend
98,usual,proper,complete,2,critical,convenient,problematic,not_recom,not_recommend
99,usual,proper,complete,2,critical,inconv,nonprob,recommended,recommend
100,usual,proper,complete,2,critical,inconv,nonprob,priority,recommend
101,usual,proper,complete,2,critical,inconv,nonprob,not_recom,not_recommend
102,usual,proper,complete,2,critical,inconv,slightly_prob,recommended,recommend
103,usual,proper,complete,2,critical,inconv,slightly_prob,priority,recommend
104,usual,proper,complete,2,critical,inconv,slightly_prob,not_recom,not_recommend
105,usual,proper,complete,2,critical,inconv,problematic,recommended,recommend
106,usual,proper,complete,2,critical,inconv,problematic,priority,recommend
107,usual,proper,complete,2,critical,inconv,problematic,not_recom,not_recommend
108,usual,proper,complete,3,convenient,convenient,nonprob,recommended,recommend
109,usual,proper,complete,3,convenient,convenient,nonprob,priority,recommend
110,usual,proper,complete,3,convenient,convenient,nonprob,not_recom,not_recommend
111,usual,proper,complete,3,convenient,convenient,slightly_prob,recommended,recommend
112,usual,proper,complete,3,convenient,convenient,slightly_prob,priority,recommend
113,usual,proper,complete,3,convenient,convenient,slightly_prob,not_recom,not_recommend
114,usual,proper,complete,3,convenient,convenient,problematic,recommended,recommend
115,usual,proper,complete,3,convenient,convenient,problematic,priority,recommend
116,usual,proper,complete,3,convenient,convenient,problematic,not_recom,not_recommend
117,usual,proper,complete,3,convenient,inconv,nonprob,recommended,recommend
118,usual,proper,complete,3,convenient,inconv,nonprob,priority,recommend
119,usual,proper,complete,3,convenient,inconv,nonprob,not_recom,not_recommend
120,usual,proper,complete,3,convenient,inconv,slightly_prob,recommended,recommend
121,usual,proper,complete,3,convenient,inconv,slightly_prob,priority,recommend
122,usual,proper,complete,3,convenient,inconv,slightly_prob,not_recom,not_recommend
123,usual,proper,complete,3,convenient,inconv,problematic,recommended,recommend
124,usual,proper,complete,3,convenient,inconv,problematic,priority,recommend
125,usual,proper,complete,3,convenient,inconv,problematic,not_recom,not_recommend
126,usual,proper,complete,3,less_conv,convenient,nonprob,recommended,recommend
127,usual,proper,complete,3,less_conv,convenient,nonprob,priority,recommend
128,usual,proper,complete,3,less_conv,convenient,nonprob,not_recom,not_recommend
129,usual,proper,complete,3,less_conv,convenient,slightly_prob,recommended,recommend
130,usual,proper,complete,3,less_conv,convenient,slightly_prob,priority,recommend
131,usual,proper,complete,3,less_conv,convenient,slightly_prob,not_recom,not_recommend
132,usual,proper,complete,3,less_conv,convenient,problematic,recommended,recommend
133,usual,proper,complete,3,less_conv,convenient,problematic,priority,recommend
134,usual,proper,complete,3,less_conv,convenient,problematic,not_recom,not_recommend
135,usual,proper,complete,3,less_conv,inconv,nonprob,recommended,recommend
136,usual,proper,complete,3,less_conv,inconv,nonprob,priority,recommend
137,usual,proper,complete,3,less_conv,inconv,nonprob,not_recom,not_recommend
138,usual,proper,complete,3,less_conv,inconv,slightly_prob,recommended,recommend
139,usual,proper,complete,3,less_conv,inconv,slightly_prob,priority,recommend
140,usual,proper,complete,3,less_conv,inconv,slightly_prob,not_recom,not_recommend
141,usual,proper,complete,3,less_conv,inconv,problematic,recommended,recommend
142,usual,proper,complete,3,less_conv,inconv,problematic,priority,recommend
143,usual,proper,complete,3,less_conv,inconv,problematic,not_recom,not_recommend
144,usual,proper,complete,3,critical,convenient,nonprob,recommended,recommend
145,usual,proper,complete,3,critical,convenient,nonprob,priority,recommend
146,usual,proper,complete,3,critical,convenient,nonprob,not_recom,not_recommend
147,usual,proper,complete,3,critical,convenient,slightly_prob,recommended,recommend
148,usual,proper,complete,3,critical,convenient,slightly_prob,priority,recommend
149,usual,proper,complete,3,critical,convenient,slightly_prob,not_recom,not_recommend
150,usual,proper,complete,3,critical,convenient,problematic,recommended,recommend
151,usual,proper,complete,3,critical,convenient,problematic,priority,recommend
152,usual,proper,complete,3,critical,convenient,problematic,not_recom,not_recommend
153,usual,proper,complete,3,critical,inconv,nonprob,recommended,recommend
154,usual,proper,complete,3,critical,inconv,nonprob,priority,recommend
155,usual,proper,complete,3,critical,inconv,nonprob,not_recom,not_recommend
156,usual,proper,complete,3,critical,inconv,slightly_prob,recommended,recommend
157,usual,proper,complete,3,critical,inconv,slightly_prob,priority,recommend
158,usual,proper,complete,3,critical,inconv,slightly_prob,not_recom,not_recommend
159,usual,proper,complete,3,critical,inconv,problematic,recommended,recommend
160,usual,proper,complete,3,critical,inconv,problematic,priority,recommend
161,usual,proper,complete,3,critical,inconv,problematic,not_recom,not_recommend
162,usual,proper,complete,more,convenient,convenient,nonprob,recommended,recommend
163,usual,proper,complete,more,convenient,convenient,nonprob,priority,recommend
164,usual,proper,complete,more,convenient,convenient,nonprob,not_recom,not_recommend
165,usual,proper,complete,more,convenient,convenient,slightly_prob,recommended,recommend
166,usual,proper,complete,more,convenient,convenient,slightly_prob,priority,recommend
167,usual,proper,complete,more,convenient,convenient,slightly_prob,not_recom,not_recommend
168,usual,proper,complete,more,convenient,convenient,problematic,recommended,recommend
169,usual,proper,complete,more,convenient,convenient,problematic,priority,recommend
170,usual,proper,complete,more,convenient,convenient,problematic,not_recom,not_recommend
171,usual,proper,complete,more,convenient,inconv,nonprob,recommended,recommend
172,usual,proper,complete,more,convenient,inconv,nonprob,priority,recommend
173,usual,proper,complete,more,convenient,inconv,nonprob,not_recom,not_recommend
174,usual,proper,complete,more,convenient,inconv,slightly_prob,recommended,recommend
175,usual,proper,complete,more,convenient,inconv,slightly_prob,priority,recommend
176,usual,proper,complete,more,convenient,inconv,slightly_prob,not_recom,not_recommend
177,usual,proper,complete,more,convenient,inconv,problematic,recommended,recommend
178,usual,proper,complete,more,convenient,inconv,problematic,priority,recommend
179,usual,proper,complete,more,convenient,inconv,problematic,not_recom,not_recommend
180,usual,proper,complete,more,less_conv,convenient,nonprob,recommended,recommend
181,usual,proper,complete,more,less_conv,convenient,nonprob,priority,recommend
182,usual,proper,complete,more,less_conv,convenient,nonprob,not_recom,not_recommend
183,usual,proper,complete,more,less_conv,convenient,slightly_prob,recommended,recommend
184,usual,proper,complete,more,less_conv,convenient,slightly_prob,priority,recommend
185,usual,proper,complete,more,less_conv,convenient,slightly_prob,not_recom,not_recommend
186,usual,proper,complete,more,less_conv,convenient,problematic,recommended,recommend
187,usual,proper,complete,more,less_conv,convenient,problematic,priority,recommend
188,usual,proper,complete,more,less_conv,convenient,problematic,not_recom,not_recommend
189,usual,proper,complete,more,less_conv,inconv,nonprob,recommended,recommend
190,usual,proper,complete,more,less_conv,inconv,nonprob,priority,recommend
191,usual,proper,complete,more,less_conv,inconv,nonprob,not_recom,not_recommend
192,usual,proper,complete,more,less_conv,inconv,slightly_prob,recommended,recommend
193,usual,proper,complete,more,less_conv,inconv,slightly_prob,priority,recommend
194,usual,proper,complete,more,less_conv,inconv,slightly_prob,not_recom,not_recommend
195,usual,proper,complete,more,less_conv,inconv,problematic,recommended,recommend
196,usual,proper,complete,more,less_conv,inconv,problematic,priority,recommend
197,usual,proper,complete,more,less_conv,inconv,problematic,not_recom,not_recommend
198,usual,proper,complete,more,critical,convenient,nonprob,recommended,recommend
199,usual,proper,complete,more,critical,convenient,nonprob,priority,recommend
200,usual,proper,complete,more,critical,convenient,nonprob,not_recom,not_recommend
201,usual,proper,complete,more,critical,convenient,slightly_prob,recommended,recommend
202,usual,proper,complete,more,critical,convenient,slightly_prob,priority,recommend
203,usual,proper,complete,more,critical,convenient,slightly_prob,not_recom,not_recommend
204,usual,proper,complete,more,critical,convenient,problematic,recommended,recommend
205,usual,proper,complete,more,critical,convenient,problematic,priority,recommend
206,usual,proper,complete,more,critical,convenient,problematic,not_recom,not_recommend
207,usual,proper,complete,more,critical,inconv,nonprob,recommended,recommend
208,usual,proper,complete,more,critical,inconv,nonprob,priority,recommend
209,usual,proper,complete,more,critical,inconv,nonprob,not_recom,not_recommend
210,usual,proper,complete,more,critical,inconv,slightly_prob,recommended,recommend
211,usual,proper,complete,more,critical,inconv,slightly_prob,priority,recommend
212,usual,proper,complete,more,critical,inconv,slightly_prob,not_recom,not_recommend
213,usual,proper,complete,more,critical,inconv,problematic,recommended,recommend
214,usual,proper,complete,more,critical,inconv,problematic,priority,recommend
215,usual,proper,complete,more,critical,inconv,problematic,not_recom,not_recommend
216,usual,proper,completed,1,convenient,convenient,nonprob,recommended,recommend
217,usual,proper,completed,1,convenient,convenient,nonprob,priority,recommend
218,usual,proper,completed,1,convenient,convenient,nonprob,not_recom,not_recommend
219,usual,proper,completed,1,convenient,convenient,slightly_prob,recommended,recommend
220,usual,proper,completed,1,convenient,convenient,slightly_prob,priority,recommend
221,usual,proper,completed,1,convenient,convenient,slightly_prob,not_recom,not_recommend
222,usual,proper,completed,1,convenient,convenient,problematic,recommended,recommend
223,usual,proper,completed,1,convenient,convenient,problematic,priority,recommend
224,usual,proper,completed,1,convenient,convenient,problematic,not_recom,not_recommend
225,usual,proper,completed,1,convenient,inconv,nonprob,recommended,recommend
226,usual,proper,completed,1,convenient,inconv,nonprob,priority,recommend
227,usual,proper,completed,1,convenient,inconv,nonprob,not_recom,not_recommend
228,usual,proper,completed,1,convenient,inconv,slightly_prob,recommended,recommend
229,usual,proper,completed,1,convenient,inconv,slightly_prob,priority,recommend
230,usual,proper,completed,1,convenient,inconv,slightly_prob,not_recom,not_recommend
231,usual,proper,completed,1,convenient,inconv,problematic,recommended,recommend
232,usual,proper,completed,1,convenient,inconv,problematic,priority,recommend
233,usual,proper,completed,1,convenient,inconv,problematic,not_recom,not_recommend
234,usual,proper,completed,1,less_conv,convenient,nonprob,recommended,recommend
235,usual,proper,completed,1,less_conv,convenient,nonprob,priority,recommend
236,usual,proper,completed,1,less_conv,convenient,nonprob,not_recom,not_recommend
237,usual,proper,completed,1,less_conv,convenient,slightly_prob,recommended,recommend
238,usual,proper,completed,1,less_conv,convenient,slightly_prob,priority,recommend
239,usual,proper,completed,1,less_conv,convenient,slightly_prob,not_recom,not_recommend
240,usual,proper,completed,1,less_conv,convenient,problematic,recommended,recommend
241,usual,proper,completed,1,less_conv,convenient,problematic,priority,recommend
242,usual,proper,completed,1,less_conv,convenient,problematic,not_recom,not_recommend
243,usual,proper,completed,1,less_conv,inconv,nonprob,recommended,recommend
244,usual,proper,completed,1,less_conv,inconv,nonprob,priority,recommend
245,usual,proper,completed,1,less_conv,inconv,nonprob,not_recom,not_recommend
246,usual,proper,completed,1,less_conv,inconv,slightly_prob,recommended,recommend
247,usual,proper,completed,1,less_conv,inconv,slightly_prob,priority,recommend
248,usual,proper,completed,1,less_conv,inconv,slightly_prob,not_recom,not_recommend
249,usual,proper,completed,1,less_conv,inconv,problematic,recommended,recommend
250,usual,proper,completed,1,less_conv,inconv,problematic,priority,recommend
251,usual,proper,completed,1,less_conv,inconv,problematic,not_recom,not_recommend
252,usual,proper,completed,1,critical,convenient,nonprob,recommended,recommend
253,usual,proper,completed,1,critical,convenient,nonprob,priority,recommend
254,usual,proper,completed,1,critical,convenient,nonprob,not_recom,not_recommend
255,usual,proper,completed,1,critical,convenient,slightly_prob,recommended,recommend
256,usual,proper,completed,1,critical,convenient,slightly_prob,priority,recommend
257,usual,proper,completed,1,critical,convenient,slightly_prob,not_recom,not_recommend
258,usual,proper,completed,1,critical,convenient,problematic,recommended,recommend
259,usual,proper,completed,1,critical,convenient,problematic,priority,recommend
260,usual,proper,completed,1,critical,convenient,problematic,not_recom,not_recommend
261,usual,proper,completed,1,critical,inconv,nonprob,recommended,recommend
262,usual,proper,completed,1,critical,inconv,nonprob,priority,recommend
263,usual,proper,completed,1,critical,inconv,nonprob,not_recom,not_recommend
264,usual,proper,completed,1,critical,inconv,slightly_prob,recommended,recommend
265,usual,proper,completed,1,critical,inconv,slightly_prob,priority,recommend
266,usual,proper,completed,1,critical,inconv,slightly_prob,not_recom,not_recommend
267,usual,proper,completed,1,critical,inconv,problematic,recommended,recommend
268,usual,proper,completed,1,critical,inconv,problematic,priority,recommend
269,usual,proper,completed,1,critical,inconv,problematic,not_recom,not_recommend
270,usual,proper,completed,2,convenient,convenient,nonprob,recommended,recommend
271,usual,proper,completed,2,convenient,convenient,nonprob,priority,recommend
272,usual,proper,completed,2,convenient,convenient,nonprob,not_recom,not_recommend
273,usual,proper,completed,2,convenient,convenient,slightly_prob,recommended,recommend
274,usual,proper,completed,2,convenient,convenient,slightly_prob,priority,recommend
275,usual,proper,completed,2,convenient,convenient,slightly_prob,not_recom,not_recommend
276,usual,proper,completed,2,convenient,convenient,problematic,recommended,recommend
277,usual,proper,completed,2,convenient,convenient,problematic,priority,recommend
278,usual,proper,completed,2,convenient,convenient,problematic,not_recom,not_recommend
279,usual,proper,completed,2,convenient,inconv,nonprob,recommended,recommend
280,usual,proper,completed,2,convenient,inconv,nonprob,priority,recommend
281,usual,proper,completed,2,convenient,inconv,nonprob,not_recom,not_recommend
282,usual,proper,completed,2,convenient,inconv,slightly_prob,recommended,recommend
283,usual,proper,completed,2,convenient,inconv,slightly_prob,priority,recommend
284,usual,proper,completed,2,convenient,inconv,slightly_prob,not_recom,not_recommend
285,usual,proper,completed,2,convenient,inconv,problematic,recommended,recommend
286,usual,proper,completed,2,convenient,inconv,problematic,priority,recommend
287,usual,proper,completed,2,convenient,inconv,problematic,not_recom,not_recommend
288,usual,proper,completed,2,less_conv,convenient,nonprob,recommended,recommend
289,usual,proper,completed,2,less_conv,convenient,nonprob,priority,recommend
290,usual,proper,completed,2,less_conv,convenient,nonprob,not_recom,not_recommend
291,usual,proper,completed,2,less_conv,convenient,slightly_prob,recommended,recommend
292,usual,proper,completed,2,less_conv,convenient,slightly_prob,priority,recommend
293,usual,proper,completed,2,less_conv,convenient,slightly_prob,not_recom,not_recommend
294,usual,proper,completed,2,less_conv,convenient,problematic,recommended,recommend
295,usual,proper,completed,2,less_conv,convenient,problematic,priority,recommend
296,usual,proper,completed,2,less_conv,convenient,problematic,not_recom,not_recommend
297,usual,proper,completed,2,less_conv,inconv,nonprob,recommended,recommend
298,usual,proper,completed,2,less_conv,inconv,nonprob,priority,recommend
299,usual,proper,completed,2,less_conv,inconv,nonprob,not_recom,not_recommend
300,usual,proper,completed,2,less_conv,inconv,slightly_prob,recommended,recommend
301,usual,proper,completed,2,less_conv,inconv,slightly_prob,priority,recommend
302,usual,proper,completed,2,less_conv,inconv,slightly_prob,not_recom,not_recommend
303,usual,proper,completed,2,less_conv,inconv,problematic,recommended,recommend
304,usual,proper,completed,2,less_conv,inconv,problematic,priority,recommend
305,usual,proper,completed,2,less_conv,inconv,problematic,not_recom,not_recommend
306,usual,proper,completed,2,critical,convenient,nonprob,recommended,recommend
307,usual,proper,completed,2,critical,convenient,nonprob,priority,recommend
308,usual,proper,completed,2,critical,convenient,nonprob,not_recom,not_recommend
309,usual,proper,completed,2,critical,convenient,slightly_prob,recommended,recommend
310,usual,proper,completed,2,critical,convenient,slightly_prob,priority,recommend
311,usual,proper,completed,2,critical,convenient,slightly_prob,not_recom,not_recommend
312,usual,proper,completed,2,critical,convenient,problematic,recommended,recommend
313,usual,proper,completed,2,critical,convenient,problematic,priority,recommend
314,usual,proper,completed,2,critical,convenient,problematic,not_recom,not_recommend
315,usual,proper,completed,2,critical,inconv,nonprob,recommended,recommend
316,usual,proper,completed,2,critical,inconv,nonprob,priority,recommend
317,usual,proper,completed,2,critical,inconv,nonprob,not_recom,not_recommend
318,usual,proper,completed,2,critical,inconv,slightly_prob,recommended,recommend
319,usual,proper,completed,2,critical,inconv,slightly_prob,priority,recommend
320,usual,proper,completed,2,critical,inconv,slightly_prob,not_recom,not_recommend
321,usual,proper,completed,2,critical,inconv,problematic,recommended,recommend
322,usual,proper,completed,2,critical,inconv,problematic,priority,recommend
323,usual,proper,completed,2,critical,inconv,problematic,not_recom,not_recommend
324,usual,proper,completed,3,convenient,convenient,nonprob,recommended,recommend
325,usual,proper,completed,3,convenient,convenient,nonprob,priority,recommend
326,usual,proper,completed,3,convenient,convenient,nonprob,not_recom,not_recommend
327,usual,proper,completed,3,convenient,convenient,slightly_prob,recommended,recommend
328,usual,proper,completed,3,convenient,convenient,slightly_prob,priority,recommend
329,usual,proper,completed,3,convenient,convenient,slightly_prob,not_recom,not_recommend
330,usual,proper,completed,3,convenient,convenient,problematic,recommended,recommend
331,usual,proper,completed,3,convenient,convenient,problematic,priority,recommend
332,usual,proper,completed,3,convenient,convenient,problematic,not_recom,not_recommend
333,usual,proper,completed,3,convenient,inconv,nonprob,recommended,recommend
334,usual,proper,completed,3,convenient,inconv,nonprob,priority,recommend
335,usual,proper,completed,3,convenient,inconv,nonprob,not_recom,not_recommend
336,usual,proper,completed,3,convenient,inconv,slightly_prob,recommended,recommend
337,usual,proper,completed,3,convenient,inconv,slightly_prob,priority,recommend
338,usual,proper,completed,3,convenient,inconv,slightly_prob,not_recom,not_recommend
339,usual,proper,completed,3,convenient,inconv,problematic,recommended,recommend
340,usual,proper,completed,3,convenient,inconv,problematic,priority,recommend
341,usual,proper,completed,3,convenient,inconv,problematic,not_recom,not_recommend
342,usual,proper,completed,3,less_conv,convenient,nonprob,recommended,recommend
343,usual,proper,completed,3,less_conv,convenient,nonprob,priority,recommend
344,usual,proper,completed,3,less_conv,convenient,nonprob,not_recom,not_recommend
345,usual,proper,completed,3,less_conv,convenient,slightly_prob,recommended,recommend
346,usual,proper,completed,3,less_conv,convenient,slightly_prob,priority,recommend
347,usual,proper,completed,3,less_conv,convenient,slightly_prob,not_recom,not_recommend
348,usual,proper,completed,3,less_conv,convenient,problematic,recommended,recommend
349,usual,proper,completed,3,less_conv,convenient,problematic,priority,recommend
350,usual,proper,completed,3,less_conv,convenient,problematic,not_recom,not_recommend
351,usual,proper,completed,3,less_conv,inconv,nonprob,recommended,recommend
352,usual,proper,completed,3,less_conv,inconv,nonprob,priority,recommend
353,usual,proper,completed,3,less_conv,inconv,nonprob,not_recom,not_recommend
354,usual,proper,completed,3,less_conv,inconv,slightly_prob,recommended,recommend
355,usual,proper,completed,3,less_conv,inconv,slightly_prob,priority,recommend
356,usual,proper,completed,3,less_conv,inconv,slightly_prob,not_recom,not_recommend
357,usual,proper,completed,3,less_conv,inconv,problematic,recommended,recommend
358,usual,proper,completed,3,less_conv,inconv,problematic,priority,recommend
359,usual,proper,completed,3,less_conv,inconv,problematic,not_recom,not_recommend
360,usual,proper,completed,3,critical,convenient,nonprob,recommended,recommend
361,usual,proper,completed,3,critical,convenient,nonprob,priority,recommend
362,usual,proper,completed,3,critical,convenient,nonprob,not_recom,not_recommend
363,usual,proper,completed,3,critical,convenient,slightly_prob,recommended,recommend
364,usual,proper,completed,3,critical,convenient,slightly_prob,priority,recommend
365,usual,proper,completed,3,critical,convenient,slightly_prob,not_recom,not_recommend
366,usual,proper,completed,3,critical,convenient,problematic,recommended,recommend
367,usual,proper,completed,3,critical,convenient,problematic,priority,recommend
368,usual,proper,completed,3,critical,convenient,problematic,not_recom,not_recommend
369,usual,proper,completed,3,critical,inconv,nonprob,recommended,recommend
370,usual,proper,completed,3,critical,inconv,nonprob,priority,recommend
371,usual,proper,completed,3,critical,inconv,nonprob,not_recom,not_recommend
372,usual,proper,completed,3,critical,inconv,slightly_prob,recommended,recommend
373,usual,proper,completed,3,critical,inconv,slightly_prob,priority,recommend
374,usual,proper,completed,3,critical,inconv,slightly_prob,not_recom,not_recommend
375,usual,proper,completed,3,critical,inconv,problematic,recommended,recommend
376,usual,proper,completed,3,critical,inconv,problematic,priority,recommend
377,usual,proper,completed,3,critical,inconv,problematic,not_recom,not_recommend
378,usual,proper,completed,more,convenient,convenient,nonprob,recommended,recommend
379,usual,proper,completed,more,convenient,convenient,nonprob,priority,recommend
380,usual,proper,completed,more,convenient,convenient,nonprob,not_recom,not_recommend
381,usual,proper,completed,more,convenient,convenient,slightly_prob,recommended,recommend
382,usual,proper,completed,more,convenient,convenient,slightly_prob,priority,recommend
383,usual,proper,completed,more,convenient,convenient,slightly_prob,not_recom,not_recommend
384,usual,proper,completed,more,convenient,convenient,problematic,recommended,recommend
385,usual,proper,completed,more,convenient,convenient,problematic,priority,recommend
386,usual,proper,completed,more,convenient,convenient,problematic,not_recom,not_recommend
387,usual,proper,completed,more,convenient,inconv,nonprob,recommended,recommend
388,usual,proper,completed,more,convenient,inconv,nonprob,priority,recommend
389,usual,proper,completed,more,convenient,inconv,nonprob,not_recom,not_recommend
390,usual,proper,completed,more,convenient,inconv,slightly_prob,recommended,recommend
391,usual,proper,completed,more,convenient,inconv,slightly_prob,priority,recommend
392,usual,proper,completed,more,convenient,inconv,slightly_prob,not_recom,not_recommend
393,usual,proper,completed,more,convenient,inconv,problematic,recommended,recommend
394,usual,proper,completed,more,convenient,inconv,problematic,priority,recommend
395,usual,proper,completed,more,convenient,inconv,problematic,not_recom,not_recommend
396,usual,proper,completed,more,less_conv,convenient,nonprob,recommended,recommend
397,usual,proper,completed,more,less_conv,convenient,nonprob,priority,recommend
