Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,decile1b,decile3,lsat,ugpa,zfygpa,zgpa,fulltime,fam_inc,male,racetxt,tier,pass_bar
29,29,29,29,29,10.0,5.0,37.0,2.8,1.4,0.0,1.0,4.0,1.0,1,5,1
30,30,30,30,30,10.0,10.0,44.0,3.1,1.74,1.58,1.0,5.0,1.0,1,4,1
31,31,31,31,31,5.0,5.0,27.0,2.8,-0.16,-0.1,1.0,3.0,0.0,1,3,1
32,32,32,32,32,9.0,7.0,42.0,3.1,0.96,0.51,1.0,4.0,1.0,1,4,1
33,33,33,33,33,4.0,3.0,35.0,3.0,-0.31,-0.67,1.0,3.0,0.0,1,3,1
34,34,34,34,34,5.0,3.0,36.0,3.1,-0.1,-0.57,1.0,4.0,1.0,1,3,1
35,35,35,35,35,1.0,1.0,42.0,2.9,-2.02,-2.23,1.0,4.0,1.0,1,4,1
36,36,36,36,36,8.0,6.0,33.0,3.3,0.8,0.23,1.0,3.0,0.0,1,4,1
37,37,37,37,37,7.0,8.0,39.0,3.5,0.39,0.61,1.0,4.0,0.0,1,3,1
38,38,38,38,38,3.0,2.0,44.0,2.7,-0.45,-0.98,1.0,5.0,1.0,1,4,1
39,39,39,39,39,1.0,2.0,31.5,3.1,-1.72,-1.01,1.0,3.0,1.0,1,3,1
40,40,40,40,40,7.0,9.0,45.0,3.0,0.54,1.14,1.0,3.0,1.0,1,4,1
41,41,41,41,41,1.0,1.0,46.0,3.6,-1.72,-1.4,1.0,3.0,1.0,1,5,1
42,42,42,42,42,7.0,6.0,40.0,3.7,0.42,0.13,1.0,3.0,0.0,1,4,1
43,43,43,43,43,6.0,5.0,36.0,2.7,0.26,0.0,1.0,4.0,1.0,1,5,1
44,44,44,44,44,7.0,6.0,40.0,3.1,0.5,0.07,1.0,3.0,1.0,1,3,1
45,45,45,45,45,6.0,6.0,44.0,3.2,0.17,0.24,1.0,4.0,1.0,1,6,1
46,46,46,46,46,2.0,2.0,25.0,2.8,-0.91,-0.95,1.0,2.0,0.0,1,4,1
47,47,47,47,47,3.0,3.0,43.0,2.9,-0.65,-0.74,1.0,3.0,0.0,1,4,1
48,48,48,48,48,1.0,1.0,25.0,3.1,-1.44,-1.5,1.0,4.0,0.0,1,4,1
49,49,49,49,49,8.0,7.0,37.0,3.1,0.65,0.35,1.0,4.0,1.0,1,5,1
50,50,50,50,50,1.0,4.0,32.0,3.3,-1.58,-0.43,1.0,3.0,0.0,1,3,1
51,51,51,51,51,6.0,7.0,46.0,3.3,0.3,0.51,1.0,4.0,0.0,1,4,1
52,52,52,52,52,4.0,5.0,33.0,3.6,-0.34,-0.12,1.0,4.0,0.0,1,3,1
53,53,53,53,53,6.0,6.0,39.0,2.7,0.21,0.1,1.0,4.0,0.0,1,4,1
54,54,54,54,54,6.0,6.0,37.0,3.3,0.13,0.14,1.0,5.0,0.0,1,3,1
55,55,55,55,55,10.0,8.0,30.0,3.6,1.38,0.77,1.0,4.0,1.0,1,3,1
56,56,56,56,56,6.0,7.0,44.0,3.5,0.35,0.43,1.0,4.0,0.0,1,6,1
57,57,57,57,57,10.0,10.0,43.0,3.8,1.76,1.63,1.0,3.0,0.0,1,4,1
58,58,58,58,58,1.0,1.0,40.0,3.2,-1.16,-1.39,1.0,4.0,0.0,1,3,1
59,59,59,59,59,8.0,8.0,34.0,3.0,0.58,0.62,1.0,4.0,1.0,1,3,1
60,60,60,60,60,1.0,2.0,38.0,3.0,-1.23,-0.86,1.0,5.0,1.0,1,5,1
61,61,61,61,61,3.0,5.0,37.0,2.4,-0.51,-0.27,1.0,4.0,1.0,1,2,1
62,62,62,62,62,3.0,6.0,39.0,3.6,-0.57,0.07,1.0,4.0,1.0,1,4,1
63,63,63,63,63,1.0,1.0,42.0,3.9,-1.3,-1.37,1.0,3.0,0.0,1,6,1
64,64,64,64,64,8.0,10.0,40.5,3.7,0.8,1.42,1.0,5.0,1.0,1,4,1
65,65,65,65,65,9.0,8.0,44.0,3.3,1.13,0.84,1.0,4.0,1.0,1,3,1
66,66,66,66,66,4.0,6.0,35.0,2.9,-0.24,0.1,1.0,4.0,1.0,1,3,1
67,67,67,67,67,3.0,2.0,35.0,3.0,-0.62,-0.9,1.0,2.0,1.0,1,4,1
68,68,68,68,68,7.0,7.0,38.0,3.3,0.33,0.32,1.0,3.0,0.0,1,5,1
69,69,69,69,69,8.0,7.0,35.0,3.1,0.72,0.51,1.0,3.0,1.0,1,4,1
70,70,70,70,70,3.0,5.0,36.0,3.1,-0.54,-0.09,1.0,3.0,1.0,1,5,1
71,71,71,71,71,6.0,6.0,32.0,3.8,0.13,0.26,1.0,4.0,1.0,1,4,1
72,72,72,72,72,1.0,1.0,28.5,2.6,-1.42,-1.83,1.0,3.0,0.0,1,3,1
73,73,73,73,73,5.0,5.0,44.0,3.2,-0.11,-0.27,1.0,2.0,1.0,1,3,1
74,74,74,74,74,10.0,10.0,41.0,3.6,1.43,1.93,1.0,3.0,0.0,1,3,1
75,75,75,75,75,5.0,5.0,40.0,3.0,-0.08,-0.18,1.0,5.0,0.0,1,3,1
76,76,76,76,76,8.0,10.0,36.0,4.0,0.64,1.35,1.0,4.0,0.0,1,4,1
77,77,77,77,77,2.0,3.0,34.0,3.4,-0.74,-0.54,1.0,3.0,0.0,1,4,1
78,78,78,78,78,5.0,2.0,38.0,3.1,-0.07,-1.21,1.0,4.0,0.0,1,3,1
79,79,79,79,79,2.0,3.0,29.0,3.0,-1.0,-0.84,1.0,5.0,0.0,1,6,1
80,80,80,80,80,3.0,5.0,32.0,2.5,-0.56,-0.13,1.0,4.0,1.0,1,3,1
81,81,81,81,81,3.0,3.0,39.0,3.6,-0.69,-0.59,1.0,4.0,1.0,1,4,1
82,82,82,82,82,9.0,10.0,39.0,3.5,1.21,1.5,1.0,5.0,0.0,1,4,1
83,83,83,83,83,10.0,10.0,42.0,3.6,1.51,1.55,1.0,3.0,1.0,1,3,1
84,84,84,84,84,4.0,2.0,21.0,2.9,-0.4,-0.9,1.0,1.0,1.0,1,4,1
85,85,85,85,85,7.0,8.0,34.0,3.4,0.55,0.68,1.0,3.0,1.0,1,4,1
86,86,86,86,86,2.0,1.0,21.0,2.6,-0.85,-1.78,1.0,3.0,0.0,1,4,1
87,87,87,87,87,10.0,10.0,39.0,2.8,1.32,1.99,1.0,3.0,1.0,1,3,1
88,88,88,88,88,7.0,6.0,34.0,3.0,0.39,0.23,1.0,5.0,0.0,1,3,1
89,89,89,89,89,5.0,4.0,45.0,2.6,-0.03,-0.55,1.0,1.0,1.0,1,3,1
90,90,90,90,90,4.0,4.0,48.0,3.8,-0.18,-0.29,1.0,4.0,0.0,1,6,1
91,91,91,91,91,6.0,3.0,34.0,3.3,0.3,-0.65,1.0,4.0,0.0,1,4,1
92,92,92,92,92,8.0,7.0,33.0,3.7,0.62,0.3,1.0,3.0,0.0,1,4,1
93,93,93,93,93,10.0,10.0,47.0,3.9,1.94,1.32,1.0,4.0,1.0,1,5,1
94,94,94,94,94,4.0,4.0,36.0,2.3,-0.21,-0.45,1.0,3.0,1.0,1,3,1
95,95,95,95,95,9.0,9.0,31.0,3.2,0.94,1.03,1.0,4.0,1.0,1,3,1
96,96,96,96,96,6.0,9.0,35.0,3.9,0.2,1.01,1.0,3.0,1.0,1,4,1
97,97,97,97,97,4.0,4.0,29.0,3.7,-0.26,-0.41,1.0,2.0,1.0,1,3,1
98,98,98,98,98,6.0,7.0,39.0,3.7,0.15,0.48,1.0,3.0,1.0,1,6,1
99,99,99,99,99,8.0,9.0,35.0,4.0,0.89,1.23,1.0,2.0,1.0,1,4,1
100,100,100,100,100,5.0,6.0,39.0,3.6,-0.11,0.29,1.0,3.0,0.0,1,4,1
101,101,101,101,101,10.0,10.0,41.0,3.8,1.6,1.49,1.0,3.0,0.0,1,4,1
102,102,102,102,102,8.0,8.0,46.0,3.8,0.74,0.66,1.0,3.0,0.0,1,5,1
103,103,103,103,103,2.0,2.0,32.0,3.9,-0.74,-1.22,1.0,3.0,0.0,1,3,1
104,104,104,104,104,9.0,9.0,32.5,2.8,0.94,1.12,1.0,3.0,1.0,1,2,1
105,105,105,105,105,8.0,8.0,36.0,3.5,0.71,0.69,1.0,4.0,0.0,1,4,1
106,106,106,106,106,5.0,4.0,28.0,2.3,-0.16,-0.5,1.0,3.0,0.0,1,3,1
107,107,107,107,107,3.0,2.0,42.0,3.2,-0.64,-0.96,1.0,2.0,1.0,1,4,1
108,108,108,108,108,6.0,4.0,34.0,3.8,0.21,-0.31,1.0,4.0,1.0,1,4,1
109,109,109,109,109,2.0,4.0,32.0,2.5,-0.86,-0.45,1.0,4.0,1.0,1,2,1
110,110,110,110,110,7.0,8.0,45.0,3.3,0.48,0.73,1.0,4.0,1.0,1,3,1
111,111,111,111,111,7.0,4.0,36.0,3.2,0.39,-0.35,1.0,4.0,1.0,1,3,1
112,112,112,112,112,10.0,10.0,32.0,3.9,1.54,1.85,1.0,4.0,0.0,1,4,1
113,113,113,113,113,8.0,9.0,42.0,3.6,0.77,0.88,1.0,2.0,1.0,1,4,1
114,114,114,114,114,5.0,4.0,37.0,3.4,-0.09,-0.37,1.0,4.0,0.0,1,4,1
115,115,115,115,115,10.0,10.0,41.0,3.3,2.08,1.88,1.0,3.0,0.0,1,5,1
116,116,116,116,116,10.0,10.0,39.0,3.6,1.88,2.02,1.0,5.0,0.0,1,4,1
117,117,117,117,117,1.0,2.0,38.0,3.2,-1.13,-1.03,1.0,2.0,0.0,1,3,1
118,118,118,118,118,8.0,8.0,45.0,3.3,0.73,0.75,1.0,4.0,1.0,1,4,1
119,119,119,119,119,7.0,6.0,43.0,3.4,0.44,0.15,1.0,5.0,0.0,1,4,1
120,120,120,120,120,6.0,5.0,48.0,3.3,0.27,-0.1,1.0,3.0,0.0,1,6,1
121,121,121,121,121,9.0,10.0,39.0,3.1,1.25,1.39,1.0,2.0,1.0,1,3,1
122,122,122,122,122,9.0,8.0,39.0,3.1,1.01,0.76,1.0,4.0,1.0,1,3,1
123,123,123,123,123,1.0,1.0,36.0,3.2,-2.15,-1.33,1.0,4.0,1.0,1,3,1
124,124,124,124,124,2.0,3.0,27.0,2.7,-0.72,-0.65,1.0,4.0,1.0,1,3,1
125,125,125,125,125,10.0,10.0,41.0,3.1,1.53,1.33,1.0,3.0,1.0,1,3,1
126,126,126,126,126,4.0,3.0,37.0,3.1,-0.26,-0.58,1.0,4.0,1.0,1,4,1
127,127,127,127,127,2.0,1.0,32.0,2.8,-0.96,-1.44,1.0,4.0,1.0,1,2,1
128,128,128,128,128,7.0,6.0,44.0,3.3,0.49,0.05,1.0,3.0,0.0,1,4,1
129,129,129,129,129,2.0,3.0,37.0,2.4,-1.1,-0.73,1.0,3.0,0.0,1,3,1
130,130,130,130,130,6.0,3.0,38.0,3.1,0.07,-0.83,1.0,3.0,1.0,1,3,1
131,131,131,131,131,3.0,3.0,44.0,3.5,-0.56,-0.68,1.0,4.0,0.0,1,5,1
132,132,132,132,132,6.0,6.0,41.0,4.0,0.13,0.15,1.0,4.0,0.0,1,4,1
133,133,133,133,133,3.0,3.0,48.0,3.3,-0.72,-0.8,1.0,4.0,1.0,1,6,1
134,134,134,134,134,8.0,9.0,39.0,3.0,0.86,1.3,1.0,2.0,0.0,1,3,1
135,135,135,135,135,9.0,9.0,34.0,4.0,1.01,1.23,1.0,4.0,0.0,1,3,1
136,136,136,136,136,4.0,4.0,42.0,3.0,-0.32,-0.42,1.0,4.0,1.0,1,3,1
137,137,137,137,137,4.0,9.0,36.0,3.8,-0.36,0.88,1.0,3.0,1.0,1,3,1
138,138,138,138,138,9.0,9.0,35.5,3.9,1.01,1.3,1.0,1.0,0.0,1,3,1
139,139,139,139,139,4.0,6.0,42.0,3.0,-0.22,0.28,1.0,3.0,0.0,1,4,1
140,140,140,140,140,8.0,4.0,29.5,3.1,0.66,-0.57,1.0,4.0,1.0,1,2,1
141,141,141,141,141,10.0,5.0,42.0,3.4,2.05,-0.19,1.0,3.0,1.0,1,6,1
142,142,142,142,142,6.0,5.0,36.0,2.9,0.08,-0.18,1.0,4.0,1.0,1,3,1
143,143,143,143,143,3.0,2.0,33.0,2.8,-0.55,-0.9,1.0,3.0,1.0,1,3,1
144,144,144,144,144,1.0,1.0,38.0,3.2,-1.38,-1.58,1.0,3.0,1.0,1,6,1
145,145,145,145,145,6.0,4.0,32.0,3.7,0.1,-0.34,1.0,3.0,0.0,1,5,1
146,146,146,146,146,3.0,7.0,35.0,2.9,-0.64,0.3,1.0,2.0,0.0,1,3,1
147,147,147,147,147,2.0,3.0,39.5,2.9,-0.91,-0.67,1.0,2.0,0.0,1,5,1
148,148,148,148,148,8.0,7.0,41.0,3.4,0.88,0.49,1.0,3.0,0.0,1,4,1
149,149,149,149,149,2.0,2.0,30.0,2.7,-1.01,-1.2,1.0,5.0,1.0,1,2,1
150,150,150,150,150,10.0,9.0,40.0,3.3,1.55,1.19,1.0,3.0,0.0,1,4,1
151,151,151,151,151,9.0,8.0,39.0,3.5,1.13,0.58,1.0,4.0,0.0,1,4,1
152,152,152,152,152,4.0,4.0,32.0,3.2,-0.2,-0.4,1.0,4.0,1.0,1,4,1
153,153,153,153,153,10.0,10.0,33.0,3.7,1.4,1.33,1.0,3.0,0.0,1,3,1
154,154,154,154,154,8.0,7.0,34.0,2.6,0.71,0.36,1.0,3.0,0.0,1,3,1
155,155,155,155,155,5.0,4.0,33.0,3.1,0.01,-0.39,1.0,4.0,1.0,1,3,1
156,156,156,156,156,1.0,1.0,24.0,2.8,-1.86,-1.77,1.0,2.0,1.0,1,3,1
157,157,157,157,157,8.0,9.0,48.0,3.9,0.9,1.0,1.0,5.0,1.0,1,6,1
158,158,158,158,158,9.0,9.0,43.0,3.9,1.15,0.91,1.0,3.0,1.0,1,5,1
159,159,159,159,159,7.0,7.0,45.0,3.3,0.52,0.38,1.0,5.0,1.0,1,5,1
160,160,160,160,160,6.0,6.0,44.0,2.7,0.22,0.13,1.0,4.0,1.0,1,4,1
161,161,161,161,161,7.0,8.0,45.0,3.9,0.46,0.72,1.0,3.0,0.0,1,5,1
162,162,162,162,162,8.0,8.0,21.0,3.3,0.79,0.71,1.0,1.0,0.0,1,1,1
163,163,163,163,163,8.0,9.0,44.0,3.7,0.77,1.14,1.0,3.0,1.0,1,6,1
164,164,164,164,164,4.0,5.0,35.0,3.0,-0.18,-0.16,1.0,3.0,0.0,1,3,1
165,165,165,165,165,10.0,9.0,46.0,3.3,1.42,0.97,1.0,4.0,1.0,1,4,1
166,166,166,166,166,6.0,4.0,44.0,2.7,0.1,-0.41,1.0,4.0,1.0,1,3,1
167,167,167,167,167,4.0,1.0,26.0,2.3,-0.33,-1.52,1.0,3.0,0.0,1,5,1
168,168,168,168,168,2.0,1.0,31.0,3.5,-1.06,-1.48,1.0,3.0,1.0,1,5,1
169,169,169,169,169,10.0,10.0,44.0,3.7,1.63,1.41,1.0,3.0,0.0,1,5,1
170,170,170,170,170,2.0,2.0,45.0,3.7,-0.94,-1.1,1.0,4.0,0.0,1,6,1
171,171,171,171,171,1.0,1.0,41.0,2.7,-1.32,-1.64,1.0,4.0,1.0,1,3,1
172,172,172,172,172,4.0,4.0,33.0,3.2,-0.39,-0.55,1.0,4.0,0.0,1,3,1
173,173,173,173,173,9.0,8.0,38.0,3.4,1.23,0.62,1.0,4.0,0.0,1,3,1
174,174,174,174,174,6.0,5.0,30.5,3.0,0.35,-0.21,1.0,3.0,1.0,1,1,1
175,175,175,175,175,8.0,6.0,31.0,2.8,0.68,0.23,1.0,3.0,1.0,1,3,1
176,176,176,176,176,7.0,7.0,34.0,3.5,0.42,0.5,1.0,4.0,0.0,1,2,1
177,177,177,177,177,2.0,3.0,37.0,2.3,-0.76,-0.86,1.0,3.0,1.0,1,3,1
178,178,178,178,178,7.0,6.0,35.0,3.1,0.39,0.06,1.0,4.0,1.0,1,4,1
179,179,179,179,179,9.0,10.0,34.0,3.2,1.22,1.33,1.0,4.0,0.0,1,3,1
180,180,180,180,180,9.0,9.0,33.0,3.7,1.19,1.31,1.0,4.0,0.0,1,3,1
181,181,181,181,181,9.0,9.0,44.0,3.4,1.07,0.9,1.0,3.0,0.0,1,4,1
182,182,182,182,182,1.0,1.0,32.0,3.0,-1.81,-1.47,1.0,3.0,0.0,1,4,1
183,183,183,183,183,2.0,1.0,32.0,2.9,-0.88,-1.66,1.0,4.0,1.0,1,3,1
184,184,184,184,184,4.0,4.0,41.0,3.5,-0.2,-0.4,1.0,4.0,1.0,1,4,1
185,185,185,185,185,10.0,10.0,39.0,3.6,1.53,1.79,1.0,1.0,0.0,1,3,1
186,186,186,186,186,5.0,6.0,39.0,3.1,-0.1,0.22,1.0,5.0,1.0,1,3,1
187,187,187,187,187,3.0,2.0,47.0,4.0,-0.78,-1.08,1.0,3.0,1.0,1,6,1
188,188,188,188,188,10.0,9.0,39.0,3.8,1.32,0.92,1.0,4.0,1.0,1,3,1
189,189,189,189,189,10.0,9.0,37.5,2.6,1.59,0.97,1.0,3.0,1.0,1,3,1
190,190,190,190,190,4.0,3.0,33.0,3.9,-0.31,-0.57,1.0,3.0,1.0,1,4,1
191,191,191,191,191,4.0,5.0,30.0,3.1,-0.28,-0.09,1.0,4.0,1.0,1,2,1
192,192,192,192,192,9.0,7.0,31.0,3.0,0.94,0.43,1.0,3.0,0.0,1,4,1
193,193,193,193,193,4.0,4.0,42.0,3.2,-0.33,-0.29,1.0,4.0,1.0,1,5,1
194,194,194,194,194,10.0,10.0,38.0,3.7,1.38,1.54,1.0,3.0,1.0,1,4,1
195,195,195,195,195,4.0,4.0,37.0,2.9,-0.34,-0.33,1.0,3.0,0.0,1,3,1
196,196,196,196,196,4.0,5.0,36.0,3.4,-0.29,-0.22,1.0,3.0,1.0,1,5,1
197,197,197,197,197,5.0,6.0,43.0,3.1,0.03,0.13,1.0,2.0,1.0,1,5,1
198,198,198,198,198,10.0,10.0,44.0,3.1,1.97,2.23,1.0,3.0,1.0,1,4,1
199,199,199,199,199,7.0,8.0,29.0,2.5,0.32,0.61,1.0,4.0,1.0,1,2,1
200,200,200,200,200,8.0,8.0,36.0,3.1,0.68,0.63,1.0,4.0,1.0,1,3,1
201,201,201,201,201,5.0,5.0,23.0,2.3,-0.03,-0.2,1.0,3.0,0.0,1,3,1
202,202,202,202,202,4.0,5.0,42.0,3.4,-0.3,-0.04,1.0,4.0,1.0,1,6,1
203,203,203,203,203,10.0,9.0,39.0,2.8,1.34,1.15,1.0,3.0,1.0,1,3,1
204,204,204,204,204,8.0,9.0,37.0,3.1,0.64,1.08,1.0,4.0,0.0,1,3,1
205,205,205,205,205,9.0,7.0,39.0,3.0,0.9,0.32,1.0,4.0,1.0,1,4,1
206,206,206,206,206,9.0,10.0,39.0,4.0,1.06,1.32,1.0,4.0,1.0,1,4,1
207,207,207,207,207,5.0,5.0,33.0,3.1,-0.05,-0.06,1.0,3.0,1.0,1,3,1
208,208,208,208,208,3.0,3.0,43.0,3.4,-0.58,-0.75,1.0,4.0,0.0,1,5,1
209,209,209,209,209,4.0,1.0,32.0,3.0,-0.41,-1.7,1.0,3.0,0.0,1,3,1
210,210,210,210,210,8.0,8.0,39.0,3.3,0.65,0.67,1.0,3.0,1.0,1,6,1
211,211,211,211,211,5.0,6.0,45.0,3.5,-0.15,0.13,1.0,4.0,0.0,1,6,1
212,212,212,212,212,7.0,7.0,32.0,3.9,0.51,0.38,1.0,4.0,0.0,1,3,1
213,213,213,213,213,5.0,5.0,39.0,3.7,-0.03,-0.12,1.0,3.0,1.0,1,3,1
214,214,214,214,214,5.0,6.0,40.0,3.9,0.0,0.13,1.0,2.0,0.0,1,5,1
215,215,215,215,215,6.0,6.0,41.0,3.6,0.17,0.19,1.0,4.0,0.0,1,4,1
216,216,216,216,216,8.0,8.0,34.0,2.9,0.82,0.68,1.0,3.0,0.0,1,2,1
217,217,217,217,217,3.0,2.0,35.0,2.6,-0.52,-1.17,1.0,3.0,1.0,1,2,1
218,218,218,218,218,3.0,3.0,42.0,2.9,-0.61,-0.81,1.0,4.0,1.0,1,4,1
219,219,219,219,219,3.0,7.0,47.0,3.2,-0.66,0.45,1.0,4.0,1.0,1,3,1
220,220,220,220,220,7.0,5.0,36.0,3.9,0.57,0.0,1.0,5.0,1.0,1,4,1
221,221,221,221,221,3.0,5.0,39.0,3.4,-0.7,-0.24,1.0,5.0,1.0,1,5,1
222,222,222,222,222,9.0,8.0,29.0,2.7,1.05,0.58,1.0,3.0,0.0,1,1,1
223,223,223,223,223,7.0,7.0,46.0,3.1,0.47,0.42,1.0,4.0,1.0,1,4,1
224,224,224,224,224,4.0,3.0,42.0,3.3,-0.23,-0.65,1.0,3.0,0.0,1,1,1
225,225,225,225,225,1.0,1.0,46.0,3.5,-1.43,-1.53,1.0,5.0,1.0,1,6,1
226,226,226,226,226,10.0,10.0,38.0,3.0,1.38,1.56,1.0,4.0,1.0,1,4,1
227,227,227,227,227,9.0,9.0,40.0,2.8,0.93,1.13,1.0,4.0,1.0,1,4,1
228,228,228,228,228,10.0,9.0,46.0,2.9,1.74,1.26,1.0,4.0,0.0,1,3,1
229,229,229,229,229,5.0,4.0,22.0,3.3,-0.16,-0.52,1.0,4.0,0.0,1,4,1
230,230,230,230,230,2.0,2.0,40.0,3.7,-0.89,-1.08,1.0,3.0,0.0,1,3,1
231,231,231,231,231,1.0,3.0,27.0,2.7,-1.5,-0.81,1.0,4.0,1.0,1,4,1
232,232,232,232,232,8.0,6.0,40.0,3.2,0.67,0.14,1.0,5.0,1.0,1,3,1
233,233,233,233,233,5.0,6.0,39.0,3.5,-0.04,0.16,1.0,3.0,1.0,1,4,1
234,234,234,234,234,1.0,1.0,31.0,2.7,-1.79,-1.77,1.0,3.0,0.0,1,3,1
235,235,235,235,235,8.0,6.0,37.0,3.6,0.58,0.25,1.0,4.0,0.0,1,3,1
236,236,236,236,236,6.0,5.0,27.5,3.1,0.25,-0.11,1.0,4.0,1.0,1,4,1
237,237,237,237,237,2.0,1.0,44.0,2.9,-1.13,-1.83,1.0,4.0,1.0,1,4,1
238,238,238,238,238,4.0,7.0,38.0,3.1,-0.27,0.32,1.0,3.0,0.0,1,3,1
239,239,239,239,239,7.0,8.0,37.0,3.3,0.55,0.57,1.0,4.0,0.0,1,6,1
240,240,240,240,240,1.0,1.0,39.0,3.5,-1.44,-1.72,1.0,4.0,0.0,1,6,1
241,241,241,241,241,4.0,1.0,33.0,3.0,-0.34,-1.34,1.0,4.0,0.0,1,3,1
242,242,242,242,242,6.0,9.0,34.0,3.5,0.1,0.88,1.0,4.0,0.0,1,3,1
243,243,243,243,243,2.0,1.0,40.5,3.6,-1.12,-1.4,1.0,4.0,1.0,1,5,1
244,244,244,244,244,9.0,9.0,43.0,3.3,0.95,1.12,1.0,3.0,0.0,1,3,1
245,245,245,245,245,4.0,5.0,41.0,3.0,-0.39,-0.23,1.0,2.0,1.0,1,4,1
246,246,246,246,246,10.0,9.0,48.0,3.5,1.99,1.26,1.0,2.0,1.0,1,4,1
247,247,247,247,247,5.0,5.0,42.0,3.1,0.01,-0.23,1.0,3.0,0.0,1,4,1
248,248,248,248,248,7.0,7.0,29.5,3.6,0.47,0.36,1.0,4.0,1.0,1,3,1
249,249,249,249,249,4.0,5.0,40.0,3.4,-0.26,-0.16,1.0,5.0,0.0,1,5,1
250,250,250,250,250,8.0,6.0,35.0,3.3,0.66,0.1,1.0,4.0,1.0,1,4,1
251,251,251,251,251,4.0,5.0,33.0,3.1,-0.3,-0.29,1.0,4.0,1.0,1,2,1
252,252,252,252,252,4.0,5.0,33.0,3.5,-0.22,-0.27,1.0,3.0,1.0,1,3,1
253,253,253,253,253,10.0,10.0,42.0,3.5,1.38,1.63,1.0,3.0,0.0,1,4,1
254,254,254,254,254,7.0,9.0,44.0,3.6,0.55,1.19,1.0,3.0,1.0,1,4,1
255,255,255,255,255,9.0,8.0,39.0,3.5,1.19,0.55,1.0,2.0,0.0,1,3,1
256,256,256,256,256,9.0,8.0,46.0,3.1,1.04,0.61,1.0,4.0,0.0,1,5,1
257,257,257,257,257,4.0,5.0,42.0,3.4,-0.25,-0.1,1.0,4.0,0.0,1,4,1
258,258,258,258,258,9.0,10.0,48.0,3.8,1.3,1.3,1.0,4.0,1.0,1,4,1
259,259,259,259,259,10.0,10.0,37.0,3.0,1.53,1.72,1.0,4.0,1.0,1,3,1
