Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,sex,age,household_position,household_size,prev_residence_place,citizenship,country_birth,edu_level,economic_status,cur_eco_activity,Marital_status,occupation
60,60,60,60,60,1,11,1122,113,1,1,1,3,111,122,2,5_4_9
61,61,61,61,61,2,4,1110,114,1,1,1,3,111,138,1,5_4_9
62,62,62,62,62,1,6,1110,114,1,1,1,5,111,122,1,2_1
63,63,63,63,63,2,7,1122,113,1,1,1,5,111,138,2,2_1
64,64,64,64,64,2,11,1121,112,1,1,1,3,111,138,2,5_4_9
65,65,65,65,65,1,7,1121,112,1,1,1,5,111,124,2,2_1
66,66,66,66,66,2,11,1210,111,1,1,1,5,111,137,3,2_1
67,67,67,67,67,1,9,1122,114,1,1,1,2,111,131,2,5_4_9
68,68,68,68,68,2,8,1122,114,1,1,1,3,111,131,2,5_4_9
69,69,69,69,69,2,11,1210,111,1,1,1,5,111,136,3,2_1
70,70,70,70,70,2,9,1131,112,1,1,1,2,111,134,3,5_4_9
71,71,71,71,71,2,11,1121,112,1,1,1,1,112,131,2,2_1
72,72,72,72,72,1,9,1210,112,1,1,1,5,111,135,1,2_1
73,73,73,73,73,2,7,1131,112,1,1,1,3,111,133,1,5_4_9
74,74,74,74,74,1,12,1122,113,1,1,1,1,111,122,2,2_1
75,75,75,75,75,2,8,1122,113,1,1,1,4,111,136,2,5_4_9
76,76,76,76,76,1,8,1122,125,1,1,1,5,111,131,2,2_1
77,77,77,77,77,2,6,1122,114,1,1,1,3,112,135,2,2_1
78,78,78,78,78,2,4,1210,111,1,1,1,2,111,131,1,5_4_9
79,79,79,79,79,1,13,1121,112,1,1,1,3,112,122,2,2_1
80,80,80,80,80,1,4,1110,113,1,1,1,1,112,135,1,5_4_9
81,81,81,81,81,2,8,1210,111,1,1,1,5,111,138,1,2_1
82,82,82,82,82,2,7,1140,113,1,1,1,1,111,137,3,5_4_9
83,83,83,83,83,1,5,1110,114,1,1,1,3,112,135,1,5_4_9
84,84,84,84,84,1,10,1122,113,1,1,1,3,111,131,2,2_1
85,85,85,85,85,2,7,1210,111,1,1,1,5,111,138,1,2_1
86,86,86,86,86,2,5,1110,125,1,1,1,3,112,132,1,5_4_9
87,87,87,87,87,1,5,1110,125,1,1,1,3,111,138,1,5_4_9
88,88,88,88,88,2,7,1122,114,1,1,1,3,111,135,2,5_4_9
89,89,89,89,89,2,8,1122,114,1,1,1,4,111,132,2,2_1
90,90,90,90,90,2,5,1131,112,1,1,1,3,111,139,1,5_4_9
91,91,91,91,91,1,8,1122,114,1,1,1,3,111,131,2,5_4_9
92,92,92,92,92,1,10,1122,126,1,1,1,5,111,137,2,2_1
93,93,93,93,93,1,8,1122,114,1,1,1,5,111,138,2,2_1
94,94,94,94,94,2,10,1122,114,1,1,1,3,111,138,2,5_4_9
95,95,95,95,95,1,4,1110,125,1,1,1,0,112,132,1,5_4_9
96,96,96,96,96,2,7,1122,114,1,1,1,5,111,135,2,2_1
97,97,97,97,97,1,11,1210,111,1,1,1,5,111,137,3,2_1
98,98,98,98,98,2,9,1122,114,1,1,1,0,111,135,2,5_4_9
99,99,99,99,99,2,6,1131,112,1,1,1,5,111,136,1,2_1
100,100,100,100,100,2,8,1122,114,1,1,1,5,111,135,2,2_1
101,101,101,101,101,1,12,1121,112,1,1,1,1,111,131,2,5_4_9
102,102,102,102,102,2,9,1132,114,1,1,1,5,111,135,1,2_1
103,103,103,103,103,2,9,1122,114,1,1,1,5,111,133,2,2_1
104,104,104,104,104,2,7,1122,113,1,1,1,5,111,136,2,2_1
105,105,105,105,105,2,6,1210,111,1,1,1,5,111,139,1,2_1
106,106,106,106,106,1,10,1122,114,1,1,1,5,111,134,2,2_1
107,107,107,107,107,1,8,1132,114,1,1,1,3,111,122,1,2_1
108,108,108,108,108,2,8,1122,114,1,1,1,5,111,137,2,2_1
109,109,109,109,109,2,10,1122,125,1,1,1,5,111,137,2,2_1
110,110,110,110,110,2,6,1121,112,1,1,1,3,111,139,2,5_4_9
111,111,111,111,111,2,12,1121,112,1,1,1,1,111,131,2,5_4_9
112,112,112,112,112,1,9,1121,112,1,1,1,5,111,137,2,2_1
113,113,113,113,113,2,7,1121,113,1,1,1,3,111,135,2,5_4_9
114,114,114,114,114,2,7,1122,114,1,1,1,5,111,139,2,2_1
115,115,115,115,115,1,10,1122,125,1,1,1,1,111,122,2,2_1
116,116,116,116,116,1,6,1132,113,1,1,1,5,111,122,1,2_1
117,117,117,117,117,2,6,1122,126,1,1,1,3,111,138,2,5_4_9
118,118,118,118,118,2,7,1122,114,1,1,1,3,111,138,2,5_4_9
119,119,119,119,119,1,11,1121,112,1,1,1,3,111,133,2,2_1
120,120,120,120,120,1,9,1122,114,1,1,1,5,111,136,2,2_1
121,121,121,121,121,2,8,1122,125,1,1,1,3,111,138,2,5_4_9
122,122,122,122,122,1,12,1131,112,1,1,1,5,111,137,3,2_1
123,123,123,123,123,2,7,1131,112,1,1,1,5,111,136,1,2_1
124,124,124,124,124,1,8,1122,114,1,1,1,3,111,133,2,5_4_9
125,125,125,125,125,2,13,1121,112,1,1,1,2,111,134,2,5_4_9
126,126,126,126,126,2,10,1122,114,1,1,1,5,111,137,2,2_1
127,127,127,127,127,2,7,1132,113,1,1,1,2,111,122,1,5_4_9
128,128,128,128,128,1,8,1122,125,1,1,1,5,111,139,2,2_1
129,129,129,129,129,1,12,1121,112,1,1,1,2,111,137,2,5_4_9
130,130,130,130,130,1,11,1122,113,1,1,1,2,111,124,2,5_4_9
131,131,131,131,131,1,10,1131,112,1,1,1,3,111,135,1,2_1
132,132,132,132,132,2,8,1121,112,1,1,1,3,112,135,2,2_1
133,133,133,133,133,1,7,1121,112,1,1,1,1,111,131,2,5_4_9
134,134,134,134,134,2,11,1121,112,1,1,1,5,111,137,2,2_1
135,135,135,135,135,1,4,1110,114,1,1,1,3,112,131,1,5_4_9
136,136,136,136,136,2,4,1110,113,1,1,1,2,112,131,1,5_4_9
137,137,137,137,137,1,10,1122,125,1,1,1,3,111,134,2,2_1
138,138,138,138,138,1,9,1132,114,1,1,1,5,111,135,1,2_1
139,139,139,139,139,2,9,1122,113,1,1,1,5,111,137,2,2_1
140,140,140,140,140,2,7,1210,111,1,1,1,5,111,136,1,2_1
141,141,141,141,141,2,9,1122,113,1,1,1,3,111,135,2,5_4_9
142,142,142,142,142,2,8,1122,113,1,1,1,1,111,135,2,5_4_9
143,143,143,143,143,1,11,1121,112,1,1,1,2,112,122,2,2_1
144,144,144,144,144,2,7,1122,113,1,1,1,2,111,138,2,5_4_9
145,145,145,145,145,2,4,1110,125,1,1,1,3,112,131,1,5_4_9
146,146,146,146,146,2,7,1131,112,1,1,1,5,111,135,1,5_4_9
147,147,147,147,147,1,8,1210,111,1,1,1,5,111,122,1,2_1
148,148,148,148,148,2,6,1210,111,1,1,1,3,111,133,3,5_4_9
149,149,149,149,149,2,5,1121,112,1,1,1,3,111,138,2,5_4_9
150,150,150,150,150,2,10,1122,113,1,1,1,3,111,131,2,5_4_9
151,151,151,151,151,1,8,1132,125,1,1,1,1,111,131,3,2_1
152,152,152,152,152,1,8,1122,125,1,1,1,4,111,138,2,2_1
153,153,153,153,153,2,5,1110,113,1,1,1,3,111,124,1,2_1
154,154,154,154,154,2,5,1210,111,1,1,1,3,111,131,1,5_4_9
155,155,155,155,155,1,9,1122,125,1,1,1,3,111,137,2,2_1
156,156,156,156,156,1,10,1122,126,1,1,1,5,111,138,2,2_1
157,157,157,157,157,2,6,1122,114,1,1,1,3,111,139,2,5_4_9
158,158,158,158,158,2,4,1110,125,1,1,1,3,111,139,1,5_4_9
159,159,159,159,159,2,10,1121,112,1,1,1,3,111,138,2,2_1
160,160,160,160,160,2,6,1131,112,1,1,1,4,111,134,1,5_4_9
161,161,161,161,161,2,5,1121,112,1,1,1,5,112,131,2,5_4_9
162,162,162,162,162,2,11,1122,113,1,1,1,2,112,131,2,2_1
163,163,163,163,163,2,11,1122,114,1,1,1,3,111,138,2,5_4_9
164,164,164,164,164,1,5,1110,113,1,1,1,3,111,136,1,5_4_9
165,165,165,165,165,2,7,1122,113,1,1,1,5,111,136,2,2_1
166,166,166,166,166,2,7,1122,114,1,1,1,2,111,135,2,5_4_9
167,167,167,167,167,2,5,1122,113,1,1,1,1,111,138,2,5_4_9
168,168,168,168,168,1,11,1122,114,1,1,1,2,111,133,2,5_4_9
169,169,169,169,169,2,11,1122,113,1,1,1,2,112,122,2,2_1
170,170,170,170,170,2,11,1122,113,1,1,1,5,111,137,2,2_1
171,171,171,171,171,1,4,1110,113,1,1,1,3,112,131,1,5_4_9
172,172,172,172,172,1,6,1210,111,1,1,1,5,111,135,1,5_4_9
173,173,173,173,173,1,10,1122,125,1,1,1,3,111,136,2,2_1
174,174,174,174,174,2,10,1122,113,1,1,1,2,111,122,2,5_4_9
175,175,175,175,175,2,4,1131,112,1,1,1,3,111,135,1,5_4_9
176,176,176,176,176,2,6,1122,113,1,1,1,3,112,132,2,2_1
177,177,177,177,177,1,10,1132,114,1,1,1,2,111,122,3,5_4_9
178,178,178,178,178,2,8,1121,112,1,1,1,3,111,136,2,5_4_9
179,179,179,179,179,2,10,1121,112,1,1,1,2,111,136,2,5_4_9
180,180,180,180,180,2,11,1121,112,1,1,1,2,111,135,2,5_4_9
181,181,181,181,181,2,9,1140,114,1,1,1,4,112,138,3,2_1
182,182,182,182,182,1,9,1210,111,1,1,1,5,111,135,1,5_4_9
183,183,183,183,183,1,6,1210,111,1,1,1,3,112,131,1,5_4_9
184,184,184,184,184,2,5,1121,113,1,1,1,3,111,131,2,5_4_9
185,185,185,185,185,2,12,1210,111,1,1,1,1,111,122,3,5_4_9
186,186,186,186,186,1,11,1122,125,1,1,1,5,112,137,2,2_1
187,187,187,187,187,2,5,1110,114,1,1,1,3,111,135,1,5_4_9
188,188,188,188,188,1,4,1110,114,1,1,1,2,112,131,1,5_4_9
189,189,189,189,189,1,10,1122,113,1,1,1,5,111,137,2,2_1
190,190,190,190,190,1,8,1122,114,1,1,1,5,111,135,2,2_1
191,191,191,191,191,1,6,1122,114,1,1,1,3,111,136,2,5_4_9
192,192,192,192,192,2,11,1122,114,1,1,1,2,111,135,2,5_4_9
193,193,193,193,193,1,12,1121,112,1,1,1,2,111,131,2,2_1
194,194,194,194,194,2,8,1210,111,1,1,1,5,111,138,1,2_1
195,195,195,195,195,2,5,1210,111,1,1,1,2,111,134,1,5_4_9
196,196,196,196,196,1,5,1110,114,1,1,1,3,111,135,1,5_4_9
197,197,197,197,197,2,5,1110,114,1,1,1,3,111,138,1,5_4_9
198,198,198,198,198,1,5,1110,125,1,1,1,2,111,136,1,5_4_9
199,199,199,199,199,2,10,1121,112,1,1,1,2,111,122,2,5_4_9
200,200,200,200,200,1,7,1122,114,1,1,1,3,111,131,2,5_4_9
201,201,201,201,201,1,6,1131,112,1,1,1,5,111,135,1,2_1
202,202,202,202,202,2,7,1122,114,1,1,1,3,111,135,2,5_4_9
203,203,203,203,203,1,12,1121,112,1,1,1,3,111,135,2,2_1
204,204,204,204,204,1,8,1122,125,1,1,1,2,111,131,2,5_4_9
205,205,205,205,205,1,9,1121,112,1,1,1,3,111,122,2,5_4_9
206,206,206,206,206,1,9,1122,114,1,1,1,3,111,131,2,5_4_9
207,207,207,207,207,2,5,1122,114,1,1,1,3,111,131,2,5_4_9
208,208,208,208,208,2,8,1210,111,1,1,1,5,111,138,1,2_1
209,209,209,209,209,2,7,1131,112,1,1,1,3,111,135,1,5_4_9
210,210,210,210,210,2,8,1122,126,1,1,1,3,111,135,2,5_4_9
211,211,211,211,211,2,11,1121,112,1,1,1,3,112,135,2,5_4_9
212,212,212,212,212,2,7,1122,114,1,1,1,3,112,137,2,2_1
213,213,213,213,213,1,9,1122,114,1,1,1,3,111,131,2,2_1
214,214,214,214,214,2,9,1122,114,1,1,1,2,111,122,2,5_4_9
215,215,215,215,215,1,7,1122,113,1,1,1,3,111,133,2,2_1
216,216,216,216,216,1,12,1122,125,1,1,1,2,112,122,2,2_1
217,217,217,217,217,1,8,1132,113,1,1,1,5,111,135,1,2_1
218,218,218,218,218,2,9,1122,114,1,1,1,2,111,133,2,5_4_9
219,219,219,219,219,1,10,1122,125,1,1,1,3,111,136,2,2_1
220,220,220,220,220,2,11,1122,113,1,1,1,3,111,138,2,2_1
221,221,221,221,221,1,8,1122,114,1,1,1,4,111,136,2,5_4_9
222,222,222,222,222,1,5,1110,114,1,1,1,3,112,132,1,5_4_9
223,223,223,223,223,1,8,1122,114,1,1,1,3,111,132,2,5_4_9
224,224,224,224,224,1,7,1210,111,1,1,1,5,111,135,1,2_1
225,225,225,225,225,2,9,1122,113,1,1,1,5,111,131,2,2_1
226,226,226,226,226,1,6,1210,111,1,1,1,4,111,136,1,2_1
227,227,227,227,227,2,5,1110,126,1,1,1,3,111,138,1,5_4_9
228,228,228,228,228,1,11,1121,112,1,1,1,2,111,133,2,5_4_9
229,229,229,229,229,2,11,1122,113,1,1,1,2,111,138,2,5_4_9
230,230,230,230,230,2,10,1122,113,1,1,1,2,111,122,2,5_4_9
231,231,231,231,231,1,10,1140,114,1,1,1,3,111,124,3,2_1
232,232,232,232,232,1,5,1110,125,1,1,1,2,111,131,1,5_4_9
233,233,233,233,233,1,12,1210,125,1,1,1,1,111,122,2,2_1
234,234,234,234,234,2,7,1122,126,1,1,1,5,111,137,2,2_1
235,235,235,235,235,1,10,1122,113,1,1,1,3,111,134,2,5_4_9
236,236,236,236,236,1,7,1121,112,1,1,1,5,111,138,2,2_1
237,237,237,237,237,2,5,1131,112,1,1,1,4,112,134,1,5_4_9
238,238,238,238,238,2,12,1121,112,1,1,1,1,111,138,2,5_4_9
239,239,239,239,239,1,6,1210,113,1,1,1,2,111,135,3,5_4_9
240,240,240,240,240,1,9,1131,112,1,1,1,2,111,122,3,2_1
241,241,241,241,241,1,7,1131,112,1,1,1,5,111,135,1,2_1
242,242,242,242,242,2,7,1210,111,1,1,1,5,111,138,1,2_1
243,243,243,243,243,2,10,1122,114,1,1,1,2,111,135,2,5_4_9
244,244,244,244,244,1,10,1122,114,1,1,1,5,111,135,2,2_1
245,245,245,245,245,1,9,1122,113,1,1,1,5,111,131,2,2_1
246,246,246,246,246,1,7,1131,112,1,1,1,5,111,131,1,2_1
247,247,247,247,247,2,8,1122,113,1,1,1,5,111,138,2,2_1
248,248,248,248,248,1,10,1122,125,1,1,1,5,111,137,2,2_1
249,249,249,249,249,1,10,1122,114,1,1,1,2,111,134,2,5_4_9
250,250,250,250,250,1,8,1122,113,1,1,1,5,111,133,2,2_1
251,251,251,251,251,1,9,1122,114,1,1,1,5,111,134,2,2_1
252,252,252,252,252,2,6,1121,112,1,1,1,3,111,138,2,2_1
253,253,253,253,253,1,8,1122,114,1,1,1,5,112,135,2,2_1
254,254,254,254,254,1,9,1132,114,1,1,1,5,111,138,1,2_1
255,255,255,255,255,1,4,1110,114,1,1,1,3,112,138,1,5_4_9
256,256,256,256,256,2,4,1110,114,1,1,1,3,111,131,1,5_4_9
257,257,257,257,257,1,8,1122,113,1,1,1,1,111,122,2,5_4_9
258,258,258,258,258,2,8,1122,125,1,1,1,2,111,131,2,5_4_9
259,259,259,259,259,2,9,1122,114,1,1,1,3,111,134,2,5_4_9
260,260,260,260,260,2,8,1122,114,1,1,1,2,111,135,2,5_4_9
261,261,261,261,261,1,7,1122,114,1,1,1,5,111,131,2,2_1
262,262,262,262,262,1,9,1210,111,1,1,1,3,111,122,1,2_1
263,263,263,263,263,2,7,1132,114,1,1,1,5,111,138,1,2_1
264,264,264,264,264,2,5,1131,112,1,1,1,3,111,138,1,5_4_9
265,265,265,265,265,2,9,1122,114,1,1,1,2,111,133,2,5_4_9
266,266,266,266,266,2,12,1121,112,1,1,1,5,111,137,2,2_1
267,267,267,267,267,2,9,1122,113,1,1,1,3,111,131,2,5_4_9
268,268,268,268,268,2,6,1210,111,1,1,1,3,111,131,1,5_4_9
269,269,269,269,269,1,10,1210,111,1,1,1,2,111,133,3,5_4_9
270,270,270,270,270,1,10,1122,113,1,1,1,3,112,131,2,2_1
271,271,271,271,271,2,10,1122,114,1,1,1,2,111,138,2,5_4_9
272,272,272,272,272,2,8,1122,125,1,1,1,1,111,137,2,5_4_9
273,273,273,273,273,1,5,1110,114,1,1,1,3,111,131,1,2_1
274,274,274,274,274,2,10,1122,113,1,1,1,2,111,135,2,5_4_9
275,275,275,275,275,2,9,1122,125,1,1,1,2,111,122,2,5_4_9
276,276,276,276,276,1,10,1122,114,1,1,1,5,112,135,2,2_1
277,277,277,277,277,1,11,1121,112,1,1,1,3,111,131,2,2_1
278,278,278,278,278,2,11,1122,113,1,1,1,2,111,131,2,5_4_9
279,279,279,279,279,1,11,1122,113,1,1,1,3,111,122,2,2_1
280,280,280,280,280,1,13,1210,111,1,1,1,2,112,122,1,2_1
281,281,281,281,281,1,4,1110,125,1,1,1,2,112,132,1,5_4_9
282,282,282,282,282,2,5,1110,113,1,1,1,2,112,132,1,5_4_9
283,283,283,283,283,1,7,1210,111,1,1,1,5,111,131,1,5_4_9
284,284,284,284,284,1,12,1122,114,1,1,1,2,111,124,2,2_1
285,285,285,285,285,1,11,1121,112,1,1,1,3,111,131,2,2_1
286,286,286,286,286,1,7,1121,112,1,1,1,2,111,132,2,5_4_9
287,287,287,287,287,1,8,1122,114,1,1,1,3,111,134,2,2_1
288,288,288,288,288,1,10,1122,125,1,1,1,4,111,131,2,2_1
289,289,289,289,289,1,7,1121,112,1,1,1,2,111,122,2,5_4_9
290,290,290,290,290,2,4,1110,114,1,1,1,3,111,131,1,5_4_9
291,291,291,291,291,1,7,1210,111,1,1,1,5,111,137,1,2_1
292,292,292,292,292,1,5,1110,114,1,1,1,4,112,133,1,5_4_9
293,293,293,293,293,1,8,1122,113,1,1,1,2,111,122,2,2_1
294,294,294,294,294,2,10,1122,114,1,1,1,5,111,138,2,5_4_9
295,295,295,295,295,1,13,1121,112,1,1,1,3,111,135,2,2_1
296,296,296,296,296,2,12,1131,112,1,1,1,1,111,138,1,5_4_9
297,297,297,297,297,2,10,1122,114,1,1,1,3,111,138,2,5_4_9
298,298,298,298,298,1,9,1122,114,1,1,1,1,111,136,2,5_4_9
299,299,299,299,299,2,6,1121,112,1,1,1,5,111,135,2,2_1
300,300,300,300,300,1,8,1131,112,1,1,1,2,111,135,1,5_4_9
301,301,301,301,301,1,11,1122,114,1,1,1,4,111,136,2,2_1
302,302,302,302,302,2,9,1122,125,1,1,1,1,111,137,2,2_1
303,303,303,303,303,1,11,1121,112,1,1,1,1,111,122,2,5_4_9
304,304,304,304,304,1,11,1122,113,1,1,1,1,112,131,2,5_4_9
305,305,305,305,305,2,9,1140,112,1,1,1,3,111,135,3,5_4_9
306,306,306,306,306,1,9,1122,114,1,1,1,2,111,122,2,5_4_9
307,307,307,307,307,2,11,1121,112,1,1,1,5,111,137,2,2_1
308,308,308,308,308,1,8,1121,112,1,1,1,4,111,133,2,2_1
309,309,309,309,309,1,8,1122,114,1,1,1,3,111,122,2,5_4_9
310,310,310,310,310,2,6,1110,113,1,1,1,3,111,135,1,5_4_9
311,311,311,311,311,2,12,1121,112,1,1,1,3,111,136,2,5_4_9
312,312,312,312,312,1,10,1122,114,1,1,1,1,111,122,2,5_4_9
313,313,313,313,313,2,12,1122,113,1,1,1,5,111,137,2,2_1
314,314,314,314,314,1,11,1122,113,1,1,1,5,111,137,2,2_1
315,315,315,315,315,2,12,1210,111,1,1,1,5,111,137,3,2_1
316,316,316,316,316,2,8,1122,114,1,1,1,5,111,137,2,2_1
317,317,317,317,317,1,8,1122,114,1,1,1,3,111,135,2,5_4_9
318,318,318,318,318,2,4,1210,113,1,1,1,0,111,131,1,5_4_9
319,319,319,319,319,1,8,1132,113,1,1,1,5,111,133,1,5_4_9
320,320,320,320,320,2,12,1122,114,1,1,1,2,112,139,2,5_4_9
321,321,321,321,321,1,7,1122,113,1,1,1,3,112,124,2,2_1
322,322,322,322,322,1,9,1122,114,1,1,1,2,111,122,2,2_1
323,323,323,323,323,1,7,1210,111,1,1,1,3,111,124,1,2_1
324,324,324,324,324,2,7,1131,112,1,1,1,5,112,134,1,2_1
325,325,325,325,325,1,11,1122,113,1,1,1,3,112,131,2,2_1
326,326,326,326,326,1,10,1122,114,1,1,1,3,111,134,2,2_1
327,327,327,327,327,2,10,1132,113,1,1,1,3,111,132,3,5_4_9
328,328,328,328,328,2,12,1121,112,1,1,1,3,111,136,2,5_4_9
329,329,329,329,329,1,9,1210,111,1,1,1,4,111,134,1,2_1
330,330,330,330,330,1,6,1121,112,1,1,1,3,111,122,2,5_4_9
331,331,331,331,331,2,7,1122,114,1,1,1,3,111,138,2,5_4_9
332,332,332,332,332,1,8,1132,113,1,1,1,5,111,136,1,2_1
333,333,333,333,333,2,5,1210,111,1,1,1,3,111,139,1,5_4_9
334,334,334,334,334,2,12,1210,111,1,1,1,2,111,135,3,2_1
335,335,335,335,335,2,5,1110,114,1,1,1,3,111,135,1,5_4_9
336,336,336,336,336,2,4,1110,125,1,1,1,2,112,131,1,5_4_9
337,337,337,337,337,1,12,1122,114,1,1,1,3,111,131,2,2_1
338,338,338,338,338,1,6,1131,112,1,1,1,5,111,122,1,2_1
339,339,339,339,339,1,10,1122,125,1,1,1,5,111,135,2,2_1
340,340,340,340,340,1,10,1122,114,1,1,1,5,111,135,2,2_1
341,341,341,341,341,1,11,1121,112,1,1,1,3,111,134,2,2_1
342,342,342,342,342,2,8,1122,126,1,1,1,3,111,138,2,2_1
343,343,343,343,343,2,9,1122,125,1,1,1,2,111,138,2,5_4_9
344,344,344,344,344,2,12,1122,113,1,1,1,1,111,138,2,5_4_9
345,345,345,345,345,1,7,1121,112,1,1,1,2,111,122,2,5_4_9
346,346,346,346,346,2,7,1121,112,1,1,1,5,111,137,2,2_1
347,347,347,347,347,2,6,1121,112,1,1,1,5,111,138,2,2_1
348,348,348,348,348,2,12,1140,112,1,1,1,3,111,122,3,5_4_9
349,349,349,349,349,1,10,1122,126,1,1,1,1,111,134,2,5_4_9
350,350,350,350,350,1,10,1121,112,1,1,1,3,111,133,2,5_4_9
351,351,351,351,351,1,10,1122,126,1,1,1,3,111,122,2,2_1
352,352,352,352,352,2,10,1140,114,1,1,1,3,111,131,3,5_4_9
353,353,353,353,353,2,5,1131,112,1,1,1,5,111,138,1,2_1
354,354,354,354,354,1,9,1122,113,1,1,1,1,111,135,2,5_4_9
355,355,355,355,355,2,8,1210,111,1,1,1,1,111,136,1,5_4_9
356,356,356,356,356,1,12,1210,111,1,1,1,5,111,138,3,5_4_9
357,357,357,357,357,1,7,1131,112,1,1,1,2,111,135,3,5_4_9
358,358,358,358,358,1,9,1122,114,1,1,1,3,111,122,2,5_4_9
359,359,359,359,359,1,4,1110,113,1,1,1,3,112,135,1,5_4_9
360,360,360,360,360,1,5,1131,112,1,1,1,3,111,131,1,5_4_9
361,361,361,361,361,2,10,1122,114,1,1,1,3,111,122,2,5_4_9
