,has_null,wave,gender,age,age_o,d_age,d_d_age,race,race_o,samerace,importance_same_race,importance_same_religion,d_importance_same_race,d_importance_same_religion,field,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,d_pref_o_attractive,d_pref_o_sincere,d_pref_o_intelligence,d_pref_o_funny,d_pref_o_ambitious,d_pref_o_shared_interests,attractive_o,sinsere_o,intelligence_o,funny_o,ambitous_o,shared_interests_o,d_attractive_o,d_sinsere_o,d_intelligence_o,d_funny_o,d_ambitous_o,d_shared_interests_o,attractive_important,sincere_important,intellicence_important,funny_important,ambtition_important,shared_interests_important,d_attractive_important,d_sincere_important,d_intellicence_important,d_funny_important,d_ambtition_important,d_shared_interests_important,attractive,sincere,intelligence,funny,ambition,d_attractive,d_sincere,d_intelligence,d_funny,d_ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,d_attractive_partner,d_sincere_partner,d_intelligence_partner,d_funny_partner,d_ambition_partner,d_shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,d_sports,d_tvsports,d_exercise,d_dining,d_museums,d_art,d_hiking,d_gaming,d_clubbing,d_reading,d_tv,d_theater,d_movies,d_concerts,d_music,d_shopping,d_yoga,interests_correlate,d_interests_correlate,expected_happy_with_sd_people,expected_num_interested_in_me,expected_num_matches,d_expected_happy_with_sd_people,d_expected_num_interested_in_me,d_expected_num_matches,like,guess_prob_liked,d_like,d_guess_prob_liked,met,decision,decision_o,match
307,0,2,female,22.0,23.0,1,[0-1],latino/hispanic american,european/caucasian-american,0,1.0,5.0,[0-1],[2-5],speech language pathology,25.0,10.0,35.0,15.0,0.0,15.0,[21-100],[0-15],[21-100],[0-15],[0-15],[0-15],8.0,4.0,4.0,7.0,5.0,3.0,[6-8],[0-5],[0-5],[6-8],[0-5],[0-5],17.0,10.0,18.0,20.0,25.0,10.0,[16-20],[0-15],[16-20],[16-20],[21-100],[0-15],6.0,6.0,7.0,7.0,7.0,[6-8],[6-8],[6-8],[6-8],[6-8],1.0,2.0,6.0,1.0,6.0,2.0,[0-5],[0-5],[6-8],[0-5],[6-8],[0-5],7.0,6.0,8.0,8.0,7.0,6.0,8.0,7.0,8.0,8.0,5.0,5.0,5.0,5.0,7.0,7.0,8.0,[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[0-5],[0-5],[6-8],[6-8],[6-8],0.2,[0-0.33],5.0,4.0,1.0,[5-6],[4-9],[0-2],2.0,3.0,[0-5],[0-4],0.0,0,1,0
308,0,2,female,22.0,21.0,1,[0-1],latino/hispanic american,european/caucasian-american,0,1.0,5.0,[0-1],[2-5],speech language pathology,15.0,20.0,15.0,30.0,5.0,15.0,[0-15],[16-20],[0-15],[21-100],[0-15],[0-15],8.0,7.0,7.0,6.0,6.0,7.0,[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],17.0,10.0,18.0,20.0,25.0,10.0,[16-20],[0-15],[16-20],[16-20],[21-100],[0-15],6.0,6.0,7.0,7.0,7.0,[6-8],[6-8],[6-8],[6-8],[6-8],1.0,3.0,7.0,1.0,4.0,2.0,[0-5],[0-5],[6-8],[0-5],[0-5],[0-5],7.0,6.0,8.0,8.0,7.0,6.0,8.0,7.0,8.0,8.0,5.0,5.0,5.0,5.0,7.0,7.0,8.0,[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[0-5],[0-5],[6-8],[6-8],[6-8],-0.31,[-1-0],5.0,4.0,1.0,[5-6],[4-9],[0-2],1.0,3.0,[0-5],[0-4],0.0,0,1,0
309,0,2,female,22.0,28.0,6,[4-6],latino/hispanic american,european/caucasian-american,0,1.0,5.0,[0-1],[2-5],speech language pathology,40.0,15.0,20.0,10.0,5.0,10.0,[21-100],[0-15],[16-20],[0-15],[0-15],[0-15],8.0,8.0,8.0,8.0,8.0,7.0,[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],17.0,10.0,18.0,20.0,25.0,10.0,[16-20],[0-15],[16-20],[16-20],[21-100],[0-15],6.0,6.0,7.0,7.0,7.0,[6-8],[6-8],[6-8],[6-8],[6-8],6.0,4.0,8.0,3.0,8.0,2.0,[6-8],[0-5],[6-8],[0-5],[6-8],[0-5],7.0,6.0,8.0,8.0,7.0,6.0,8.0,7.0,8.0,8.0,5.0,5.0,5.0,5.0,7.0,7.0,8.0,[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[0-5],[0-5],[6-8],[6-8],[6-8],-0.07,[-1-0],5.0,4.0,1.0,[5-6],[4-9],[0-2],3.0,3.0,[0-5],[0-4],0.0,0,1,0
310,0,2,female,22.0,28.0,6,[4-6],latino/hispanic american,european/caucasian-american,0,1.0,5.0,[0-1],[2-5],speech language pathology,40.0,20.0,20.0,20.0,0.0,0.0,[21-100],[16-20],[16-20],[16-20],[0-15],[0-15],9.0,9.0,8.0,9.0,8.0,7.0,[9-10],[9-10],[6-8],[9-10],[6-8],[6-8],17.0,10.0,18.0,20.0,25.0,10.0,[16-20],[0-15],[16-20],[16-20],[21-100],[0-15],6.0,6.0,7.0,7.0,7.0,[6-8],[6-8],[6-8],[6-8],[6-8],2.0,4.0,7.0,3.0,6.0,2.0,[0-5],[0-5],[6-8],[0-5],[6-8],[0-5],7.0,6.0,8.0,8.0,7.0,6.0,8.0,7.0,8.0,8.0,5.0,5.0,5.0,5.0,7.0,7.0,8.0,[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[0-5],[0-5],[6-8],[6-8],[6-8],-0.06,[-1-0],5.0,4.0,1.0,[5-6],[4-9],[0-2],1.0,2.0,[0-5],[0-4],0.0,0,1,0
311,0,2,female,22.0,23.0,1,[0-1],latino/hispanic american,black/african american,0,1.0,5.0,[0-1],[2-5],speech language pathology,20.0,25.0,25.0,10.0,10.0,10.0,[16-20],[21-100],[21-100],[0-15],[0-15],[0-15],9.0,8.0,9.0,10.0,9.0,8.0,[9-10],[6-8],[9-10],[9-10],[9-10],[6-8],17.0,10.0,18.0,20.0,25.0,10.0,[16-20],[0-15],[16-20],[16-20],[21-100],[0-15],6.0,6.0,7.0,7.0,7.0,[6-8],[6-8],[6-8],[6-8],[6-8],5.0,6.0,6.0,4.0,3.0,4.0,[0-5],[6-8],[6-8],[0-5],[0-5],[0-5],7.0,6.0,8.0,8.0,7.0,6.0,8.0,7.0,8.0,8.0,5.0,5.0,5.0,5.0,7.0,7.0,8.0,[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[0-5],[0-5],[6-8],[6-8],[6-8],-0.16,[-1-0],5.0,4.0,1.0,[5-6],[4-9],[0-2],4.0,1.0,[0-5],[0-4],0.0,0,1,0
332,0,2,female,22.0,24.0,2,[2-3],european/caucasian-american,european/caucasian-american,1,4.0,5.0,[2-5],[2-5],social work,25.0,15.0,25.0,25.0,15.0,15.0,[21-100],[0-15],[21-100],[21-100],[0-15],[0-15],7.0,6.0,7.0,6.0,7.0,5.0,[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],20.0,22.0,18.0,15.0,15.0,10.0,[16-20],[21-100],[16-20],[0-15],[0-15],[0-15],6.0,9.0,8.0,7.0,8.0,[6-8],[9-10],[6-8],[6-8],[6-8],8.0,6.0,7.0,3.0,7.0,2.0,[6-8],[6-8],[6-8],[0-5],[6-8],[0-5],8.0,9.0,7.0,7.0,7.0,6.0,2.0,2.0,7.0,7.0,7.0,5.0,7.0,6.0,8.0,9.0,5.0,[6-8],[9-10],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[9-10],[0-5],-0.41,[-1-0],7.0,4.0,3.0,[7-10],[4-9],[3-5],6.0,4.0,[6-8],[0-4],0.0,1,1,1
333,0,2,female,22.0,28.0,6,[4-6],european/caucasian-american,european/caucasian-american,1,4.0,5.0,[2-5],[2-5],social work,25.0,15.0,25.0,15.0,0.0,20.0,[21-100],[0-15],[21-100],[0-15],[0-15],[16-20],8.0,8.0,6.0,7.0,6.0,6.0,[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],20.0,22.0,18.0,15.0,15.0,10.0,[16-20],[21-100],[16-20],[0-15],[0-15],[0-15],6.0,9.0,8.0,7.0,8.0,[6-8],[9-10],[6-8],[6-8],[6-8],6.0,8.0,7.0,4.0,7.0,2.0,[6-8],[6-8],[6-8],[0-5],[6-8],[0-5],8.0,9.0,7.0,7.0,7.0,6.0,2.0,2.0,7.0,7.0,7.0,5.0,7.0,6.0,8.0,9.0,5.0,[6-8],[9-10],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[9-10],[0-5],0.08,[0-0.33],7.0,4.0,3.0,[7-10],[4-9],[3-5],6.0,4.0,[6-8],[0-4],0.0,1,1,1
336,0,2,female,22.0,22.0,0,[0-1],european/caucasian-american,european/caucasian-american,1,4.0,5.0,[2-5],[2-5],social work,30.0,15.0,25.0,25.0,5.0,0.0,[21-100],[0-15],[21-100],[21-100],[0-15],[0-15],6.0,8.0,9.0,5.0,9.0,3.0,[6-8],[6-8],[9-10],[0-5],[9-10],[0-5],20.0,22.0,18.0,15.0,15.0,10.0,[16-20],[21-100],[16-20],[0-15],[0-15],[0-15],6.0,9.0,8.0,7.0,8.0,[6-8],[9-10],[6-8],[6-8],[6-8],8.0,7.0,8.0,8.0,8.0,6.0,[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],8.0,9.0,7.0,7.0,7.0,6.0,2.0,2.0,7.0,7.0,7.0,5.0,7.0,6.0,8.0,9.0,5.0,[6-8],[9-10],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[9-10],[0-5],0.11,[0-0.33],7.0,4.0,3.0,[7-10],[4-9],[3-5],8.0,5.0,[6-8],[5-6],0.0,1,0,0
337,0,2,female,22.0,25.0,3,[2-3],european/caucasian-american,asian/pacific islander/asian-american,0,4.0,5.0,[2-5],[2-5],social work,20.0,20.0,20.0,20.0,5.0,15.0,[16-20],[16-20],[16-20],[16-20],[0-15],[0-15],7.0,8.0,8.0,7.0,6.0,5.0,[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],20.0,22.0,18.0,15.0,15.0,10.0,[16-20],[21-100],[16-20],[0-15],[0-15],[0-15],6.0,9.0,8.0,7.0,8.0,[6-8],[9-10],[6-8],[6-8],[6-8],7.0,5.0,6.0,8.0,6.0,4.0,[6-8],[0-5],[6-8],[6-8],[6-8],[0-5],8.0,9.0,7.0,7.0,7.0,6.0,2.0,2.0,7.0,7.0,7.0,5.0,7.0,6.0,8.0,9.0,5.0,[6-8],[9-10],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[9-10],[0-5],0.2,[0-0.33],7.0,4.0,3.0,[7-10],[4-9],[3-5],5.0,6.0,[0-5],[5-6],0.0,0,1,0
339,0,2,female,22.0,23.0,1,[0-1],european/caucasian-american,european/caucasian-american,1,4.0,5.0,[2-5],[2-5],social work,25.0,10.0,35.0,15.0,0.0,15.0,[21-100],[0-15],[21-100],[0-15],[0-15],[0-15],5.0,8.0,5.0,3.0,3.0,3.0,[0-5],[6-8],[0-5],[0-5],[0-5],[0-5],20.0,22.0,18.0,15.0,15.0,10.0,[16-20],[21-100],[16-20],[0-15],[0-15],[0-15],6.0,9.0,8.0,7.0,8.0,[6-8],[9-10],[6-8],[6-8],[6-8],6.0,7.0,7.0,4.0,6.0,6.0,[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],8.0,9.0,7.0,7.0,7.0,6.0,2.0,2.0,7.0,7.0,7.0,5.0,7.0,6.0,8.0,9.0,5.0,[6-8],[9-10],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[9-10],[0-5],-0.05,[-1-0],7.0,4.0,3.0,[7-10],[4-9],[3-5],6.0,5.0,[6-8],[5-6],0.0,1,0,0
340,0,2,female,22.0,21.0,1,[0-1],european/caucasian-american,european/caucasian-american,1,4.0,5.0,[2-5],[2-5],social work,15.0,20.0,15.0,30.0,5.0,15.0,[0-15],[16-20],[0-15],[21-100],[0-15],[0-15],5.0,7.0,6.0,7.0,5.0,5.0,[0-5],[6-8],[6-8],[6-8],[0-5],[0-5],20.0,22.0,18.0,15.0,15.0,10.0,[16-20],[21-100],[16-20],[0-15],[0-15],[0-15],6.0,9.0,8.0,7.0,8.0,[6-8],[9-10],[6-8],[6-8],[6-8],6.0,8.0,8.0,5.0,7.0,5.0,[6-8],[6-8],[6-8],[0-5],[6-8],[0-5],8.0,9.0,7.0,7.0,7.0,6.0,2.0,2.0,7.0,7.0,7.0,5.0,7.0,6.0,8.0,9.0,5.0,[6-8],[9-10],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[9-10],[0-5],0.42,[0.33-1],7.0,4.0,3.0,[7-10],[4-9],[3-5],8.0,7.0,[6-8],[7-10],0.0,1,0,0
343,0,2,female,22.0,23.0,1,[0-1],european/caucasian-american,black/african american,0,4.0,5.0,[2-5],[2-5],social work,20.0,25.0,25.0,10.0,10.0,10.0,[16-20],[21-100],[21-100],[0-15],[0-15],[0-15],6.0,8.0,8.0,8.0,9.0,6.0,[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],20.0,22.0,18.0,15.0,15.0,10.0,[16-20],[21-100],[16-20],[0-15],[0-15],[0-15],6.0,9.0,8.0,7.0,8.0,[6-8],[9-10],[6-8],[6-8],[6-8],6.0,8.0,7.0,6.0,5.0,3.0,[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],8.0,9.0,7.0,7.0,7.0,6.0,2.0,2.0,7.0,7.0,7.0,5.0,7.0,6.0,8.0,9.0,5.0,[6-8],[9-10],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[9-10],[0-5],0.52,[0.33-1],7.0,4.0,3.0,[7-10],[4-9],[3-5],6.0,6.0,[6-8],[5-6],0.0,1,0,0
344,0,2,female,23.0,25.0,2,[2-3],european/caucasian-american,asian/pacific islander/asian-american,0,2.0,4.0,[2-5],[2-5],law,25.0,20.0,25.0,20.0,10.0,0.0,[21-100],[16-20],[21-100],[16-20],[0-15],[0-15],6.0,6.0,8.0,7.0,8.0,4.0,[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],10.0,20.0,20.0,20.0,20.0,10.0,[0-15],[16-20],[16-20],[16-20],[16-20],[0-15],7.0,8.0,9.0,8.0,8.0,[6-8],[6-8],[9-10],[6-8],[6-8],3.0,6.0,6.0,5.0,6.0,5.0,[0-5],[6-8],[6-8],[0-5],[6-8],[0-5],5.0,6.0,8.0,7.0,4.0,4.0,2.0,1.0,7.0,8.0,5.0,7.0,7.0,7.0,9.0,6.0,4.0,[0-5],[6-8],[6-8],[6-8],[0-5],[0-5],[0-5],[0-5],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[9-10],[6-8],[0-5],0.19,[0-0.33],3.0,2.0,1.0,[0-4],[0-3],[0-2],6.0,5.0,[6-8],[5-6],0.0,0,0,0
347,0,2,female,23.0,24.0,1,[0-1],european/caucasian-american,european/caucasian-american,1,2.0,4.0,[2-5],[2-5],law,25.0,35.0,30.0,10.0,0.0,0.0,[21-100],[21-100],[21-100],[0-15],[0-15],[0-15],3.0,4.0,7.0,3.0,7.0,1.0,[0-5],[0-5],[6-8],[0-5],[6-8],[0-5],10.0,20.0,20.0,20.0,20.0,10.0,[0-15],[16-20],[16-20],[16-20],[16-20],[0-15],7.0,8.0,9.0,8.0,8.0,[6-8],[6-8],[9-10],[6-8],[6-8],4.0,6.0,6.0,5.0,7.0,6.0,[0-5],[6-8],[6-8],[0-5],[6-8],[6-8],5.0,6.0,8.0,7.0,4.0,4.0,2.0,1.0,7.0,8.0,5.0,7.0,7.0,7.0,9.0,6.0,4.0,[0-5],[6-8],[6-8],[6-8],[0-5],[0-5],[0-5],[0-5],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[9-10],[6-8],[0-5],0.21,[0-0.33],3.0,2.0,1.0,[0-4],[0-3],[0-2],6.0,5.0,[6-8],[5-6],0.0,0,0,0
348,0,2,female,23.0,24.0,1,[0-1],european/caucasian-american,european/caucasian-american,1,2.0,4.0,[2-5],[2-5],law,25.0,15.0,25.0,25.0,15.0,15.0,[21-100],[0-15],[21-100],[21-100],[0-15],[0-15],7.0,7.0,7.0,7.0,6.0,7.0,[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],10.0,20.0,20.0,20.0,20.0,10.0,[0-15],[16-20],[16-20],[16-20],[16-20],[0-15],7.0,8.0,9.0,8.0,8.0,[6-8],[6-8],[9-10],[6-8],[6-8],6.0,9.0,7.0,5.0,6.0,3.0,[6-8],[9-10],[6-8],[0-5],[6-8],[0-5],5.0,6.0,8.0,7.0,4.0,4.0,2.0,1.0,7.0,8.0,5.0,7.0,7.0,7.0,9.0,6.0,4.0,[0-5],[6-8],[6-8],[6-8],[0-5],[0-5],[0-5],[0-5],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[9-10],[6-8],[0-5],-0.27,[-1-0],3.0,2.0,1.0,[0-4],[0-3],[0-2],7.0,4.0,[6-8],[0-4],0.0,0,1,0
349,0,2,female,23.0,28.0,5,[4-6],european/caucasian-american,european/caucasian-american,1,2.0,4.0,[2-5],[2-5],law,25.0,15.0,25.0,15.0,0.0,20.0,[21-100],[0-15],[21-100],[0-15],[0-15],[16-20],6.0,6.0,6.0,6.0,6.0,5.0,[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],10.0,20.0,20.0,20.0,20.0,10.0,[0-15],[16-20],[16-20],[16-20],[16-20],[0-15],7.0,8.0,9.0,8.0,8.0,[6-8],[6-8],[9-10],[6-8],[6-8],4.0,5.0,5.0,2.0,6.0,5.0,[0-5],[0-5],[0-5],[0-5],[6-8],[0-5],5.0,6.0,8.0,7.0,4.0,4.0,2.0,1.0,7.0,8.0,5.0,7.0,7.0,7.0,9.0,6.0,4.0,[0-5],[6-8],[6-8],[6-8],[0-5],[0-5],[0-5],[0-5],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[9-10],[6-8],[0-5],-0.41,[-1-0],3.0,2.0,1.0,[0-4],[0-3],[0-2],4.0,3.0,[0-5],[0-4],0.0,0,1,0
350,0,2,female,23.0,26.0,3,[2-3],european/caucasian-american,european/caucasian-american,1,2.0,4.0,[2-5],[2-5],law,20.0,35.0,20.0,10.0,10.0,5.0,[16-20],[21-100],[16-20],[0-15],[0-15],[0-15],6.0,8.0,8.0,9.0,8.0,6.0,[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],10.0,20.0,20.0,20.0,20.0,10.0,[0-15],[16-20],[16-20],[16-20],[16-20],[0-15],7.0,8.0,9.0,8.0,8.0,[6-8],[6-8],[9-10],[6-8],[6-8],8.0,7.0,7.0,7.0,5.0,5.0,[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],5.0,6.0,8.0,7.0,4.0,4.0,2.0,1.0,7.0,8.0,5.0,7.0,7.0,7.0,9.0,6.0,4.0,[0-5],[6-8],[6-8],[6-8],[0-5],[0-5],[0-5],[0-5],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[9-10],[6-8],[0-5],-0.02,[-1-0],3.0,2.0,1.0,[0-4],[0-3],[0-2],7.0,6.0,[6-8],[5-6],0.0,0,0,0
351,0,2,female,23.0,30.0,7,[7-37],european/caucasian-american,european/caucasian-american,1,2.0,4.0,[2-5],[2-5],law,20.0,20.0,25.0,25.0,5.0,5.0,[16-20],[16-20],[21-100],[21-100],[0-15],[0-15],9.0,5.0,6.0,3.0,6.0,3.0,[9-10],[0-5],[6-8],[0-5],[6-8],[0-5],10.0,20.0,20.0,20.0,20.0,10.0,[0-15],[16-20],[16-20],[16-20],[16-20],[0-15],7.0,8.0,9.0,8.0,8.0,[6-8],[6-8],[9-10],[6-8],[6-8],5.0,5.0,5.0,7.0,7.0,6.0,[0-5],[0-5],[0-5],[6-8],[6-8],[6-8],5.0,6.0,8.0,7.0,4.0,4.0,2.0,1.0,7.0,8.0,5.0,7.0,7.0,7.0,9.0,6.0,4.0,[0-5],[6-8],[6-8],[6-8],[0-5],[0-5],[0-5],[0-5],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[9-10],[6-8],[0-5],0.09,[0-0.33],3.0,2.0,1.0,[0-4],[0-3],[0-2],8.0,6.0,[6-8],[5-6],0.0,0,0,0
355,0,2,female,23.0,23.0,0,[0-1],european/caucasian-american,european/caucasian-american,1,2.0,4.0,[2-5],[2-5],law,25.0,10.0,35.0,15.0,0.0,15.0,[21-100],[0-15],[21-100],[0-15],[0-15],[0-15],3.0,5.0,6.0,2.0,6.0,4.0,[0-5],[0-5],[6-8],[0-5],[6-8],[0-5],10.0,20.0,20.0,20.0,20.0,10.0,[0-15],[16-20],[16-20],[16-20],[16-20],[0-15],7.0,8.0,9.0,8.0,8.0,[6-8],[6-8],[9-10],[6-8],[6-8],5.0,5.0,5.0,2.0,4.0,3.0,[0-5],[0-5],[0-5],[0-5],[0-5],[0-5],5.0,6.0,8.0,7.0,4.0,4.0,2.0,1.0,7.0,8.0,5.0,7.0,7.0,7.0,9.0,6.0,4.0,[0-5],[6-8],[6-8],[6-8],[0-5],[0-5],[0-5],[0-5],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[9-10],[6-8],[0-5],-0.27,[-1-0],3.0,2.0,1.0,[0-4],[0-3],[0-2],4.0,4.0,[0-5],[0-4],0.0,0,0,0
356,0,2,female,23.0,21.0,2,[2-3],european/caucasian-american,european/caucasian-american,1,2.0,4.0,[2-5],[2-5],law,15.0,20.0,15.0,30.0,5.0,15.0,[0-15],[16-20],[0-15],[21-100],[0-15],[0-15],6.0,7.0,7.0,6.0,6.0,4.0,[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],10.0,20.0,20.0,20.0,20.0,10.0,[0-15],[16-20],[16-20],[16-20],[16-20],[0-15],7.0,8.0,9.0,8.0,8.0,[6-8],[6-8],[9-10],[6-8],[6-8],3.0,7.0,8.0,6.0,7.0,5.0,[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],5.0,6.0,8.0,7.0,4.0,4.0,2.0,1.0,7.0,8.0,5.0,7.0,7.0,7.0,9.0,6.0,4.0,[0-5],[6-8],[6-8],[6-8],[0-5],[0-5],[0-5],[0-5],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[9-10],[6-8],[0-5],0.11,[0-0.33],3.0,2.0,1.0,[0-4],[0-3],[0-2],7.0,7.0,[6-8],[7-10],0.0,0,0,0
357,0,2,female,23.0,28.0,5,[4-6],european/caucasian-american,european/caucasian-american,1,2.0,4.0,[2-5],[2-5],law,40.0,15.0,20.0,10.0,5.0,10.0,[21-100],[0-15],[16-20],[0-15],[0-15],[0-15],6.0,8.0,8.0,7.0,8.0,6.0,[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],10.0,20.0,20.0,20.0,20.0,10.0,[0-15],[16-20],[16-20],[16-20],[16-20],[0-15],7.0,8.0,9.0,8.0,8.0,[6-8],[6-8],[9-10],[6-8],[6-8],7.0,7.0,8.0,7.0,9.0,7.0,[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],5.0,6.0,8.0,7.0,4.0,4.0,2.0,1.0,7.0,8.0,5.0,7.0,7.0,7.0,9.0,6.0,4.0,[0-5],[6-8],[6-8],[6-8],[0-5],[0-5],[0-5],[0-5],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[9-10],[6-8],[0-5],0.16,[0-0.33],3.0,2.0,1.0,[0-4],[0-3],[0-2],9.0,6.0,[9-10],[5-6],0.0,1,0,0
358,0,2,female,23.0,28.0,5,[4-6],european/caucasian-american,european/caucasian-american,1,2.0,4.0,[2-5],[2-5],law,40.0,20.0,20.0,20.0,0.0,0.0,[21-100],[16-20],[16-20],[16-20],[0-15],[0-15],6.0,8.0,8.0,7.0,8.0,6.0,[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],10.0,20.0,20.0,20.0,20.0,10.0,[0-15],[16-20],[16-20],[16-20],[16-20],[0-15],7.0,8.0,9.0,8.0,8.0,[6-8],[6-8],[9-10],[6-8],[6-8],3.0,5.0,8.0,4.0,7.0,6.0,[0-5],[0-5],[6-8],[0-5],[6-8],[6-8],5.0,6.0,8.0,7.0,4.0,4.0,2.0,1.0,7.0,8.0,5.0,7.0,7.0,7.0,9.0,6.0,4.0,[0-5],[6-8],[6-8],[6-8],[0-5],[0-5],[0-5],[0-5],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[9-10],[6-8],[0-5],0.21,[0-0.33],3.0,2.0,1.0,[0-4],[0-3],[0-2],6.0,5.0,[6-8],[5-6],0.0,0,0,0
359,0,2,female,23.0,23.0,0,[0-1],european/caucasian-american,black/african american,0,2.0,4.0,[2-5],[2-5],law,20.0,25.0,25.0,10.0,10.0,10.0,[16-20],[21-100],[21-100],[0-15],[0-15],[0-15],7.0,9.0,10.0,10.0,10.0,10.0,[6-8],[9-10],[9-10],[9-10],[9-10],[9-10],10.0,20.0,20.0,20.0,20.0,10.0,[0-15],[16-20],[16-20],[16-20],[16-20],[0-15],7.0,8.0,9.0,8.0,8.0,[6-8],[6-8],[9-10],[6-8],[6-8],7.0,7.0,8.0,8.0,7.0,8.0,[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],5.0,6.0,8.0,7.0,4.0,4.0,2.0,1.0,7.0,8.0,5.0,7.0,7.0,7.0,9.0,6.0,4.0,[0-5],[6-8],[6-8],[6-8],[0-5],[0-5],[0-5],[0-5],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[9-10],[6-8],[0-5],0.49,[0.33-1],3.0,2.0,1.0,[0-4],[0-3],[0-2],8.0,5.0,[6-8],[5-6],0.0,1,1,1
360,0,2,female,24.0,25.0,1,[0-1],european/caucasian-american,asian/pacific islander/asian-american,0,4.0,8.0,[2-5],[6-10],law,25.0,20.0,25.0,20.0,10.0,0.0,[21-100],[16-20],[21-100],[16-20],[0-15],[0-15],7.0,5.0,4.0,4.0,8.0,3.0,[6-8],[0-5],[0-5],[0-5],[6-8],[0-5],35.0,10.0,20.0,20.0,10.0,5.0,[21-100],[0-15],[16-20],[16-20],[0-15],[0-15],8.0,8.0,9.0,8.0,9.0,[6-8],[6-8],[9-10],[6-8],[9-10],4.0,6.0,6.0,6.0,6.0,4.0,[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],3.0,3.0,7.0,10.0,7.0,7.0,7.0,2.0,6.0,6.0,8.0,8.0,8.0,6.0,7.0,10.0,6.0,[0-5],[0-5],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],-0.19,[-1-0],5.0,4.0,3.0,[5-6],[4-9],[3-5],5.0,4.0,[0-5],[0-4],0.0,0,0,0
