Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,parents,has_nurs,form,children,housing,finance,social,health,class
20,20,20,20,20,20,usual,proper,complete,1,less_conv,convenient,nonprob,not_recom,not_recommend
21,21,21,21,21,21,usual,proper,complete,1,less_conv,convenient,slightly_prob,recommended,recommend
22,22,22,22,22,22,usual,proper,complete,1,less_conv,convenient,slightly_prob,priority,recommend
23,23,23,23,23,23,usual,proper,complete,1,less_conv,convenient,slightly_prob,not_recom,not_recommend
24,24,24,24,24,24,usual,proper,complete,1,less_conv,convenient,problematic,recommended,recommend
25,25,25,25,25,25,usual,proper,complete,1,less_conv,convenient,problematic,priority,recommend
26,26,26,26,26,26,usual,proper,complete,1,less_conv,convenient,problematic,not_recom,not_recommend
27,27,27,27,27,27,usual,proper,complete,1,less_conv,inconv,nonprob,recommended,recommend
28,28,28,28,28,28,usual,proper,complete,1,less_conv,inconv,nonprob,priority,recommend
29,29,29,29,29,29,usual,proper,complete,1,less_conv,inconv,nonprob,not_recom,not_recommend
30,30,30,30,30,30,usual,proper,complete,1,less_conv,inconv,slightly_prob,recommended,recommend
31,31,31,31,31,31,usual,proper,complete,1,less_conv,inconv,slightly_prob,priority,recommend
32,32,32,32,32,32,usual,proper,complete,1,less_conv,inconv,slightly_prob,not_recom,not_recommend
33,33,33,33,33,33,usual,proper,complete,1,less_conv,inconv,problematic,recommended,recommend
34,34,34,34,34,34,usual,proper,complete,1,less_conv,inconv,problematic,priority,recommend
35,35,35,35,35,35,usual,proper,complete,1,less_conv,inconv,problematic,not_recom,not_recommend
36,36,36,36,36,36,usual,proper,complete,1,critical,convenient,nonprob,recommended,recommend
37,37,37,37,37,37,usual,proper,complete,1,critical,convenient,nonprob,priority,recommend
38,38,38,38,38,38,usual,proper,complete,1,critical,convenient,nonprob,not_recom,not_recommend
39,39,39,39,39,39,usual,proper,complete,1,critical,convenient,slightly_prob,recommended,recommend
40,40,40,40,40,40,usual,proper,complete,1,critical,convenient,slightly_prob,priority,recommend
41,41,41,41,41,41,usual,proper,complete,1,critical,convenient,slightly_prob,not_recom,not_recommend
42,42,42,42,42,42,usual,proper,complete,1,critical,convenient,problematic,recommended,recommend
43,43,43,43,43,43,usual,proper,complete,1,critical,convenient,problematic,priority,recommend
44,44,44,44,44,44,usual,proper,complete,1,critical,convenient,problematic,not_recom,not_recommend
45,45,45,45,45,45,usual,proper,complete,1,critical,inconv,nonprob,recommended,recommend
46,46,46,46,46,46,usual,proper,complete,1,critical,inconv,nonprob,priority,recommend
47,47,47,47,47,47,usual,proper,complete,1,critical,inconv,nonprob,not_recom,not_recommend
48,48,48,48,48,48,usual,proper,complete,1,critical,inconv,slightly_prob,recommended,recommend
49,49,49,49,49,49,usual,proper,complete,1,critical,inconv,slightly_prob,priority,recommend
50,50,50,50,50,50,usual,proper,complete,1,critical,inconv,slightly_prob,not_recom,not_recommend
51,51,51,51,51,51,usual,proper,complete,1,critical,inconv,problematic,recommended,recommend
52,52,52,52,52,52,usual,proper,complete,1,critical,inconv,problematic,priority,recommend
53,53,53,53,53,53,usual,proper,complete,1,critical,inconv,problematic,not_recom,not_recommend
54,54,54,54,54,54,usual,proper,complete,2,convenient,convenient,nonprob,recommended,recommend
55,55,55,55,55,55,usual,proper,complete,2,convenient,convenient,nonprob,priority,recommend
56,56,56,56,56,56,usual,proper,complete,2,convenient,convenient,nonprob,not_recom,not_recommend
57,57,57,57,57,57,usual,proper,complete,2,convenient,convenient,slightly_prob,recommended,recommend
58,58,58,58,58,58,usual,proper,complete,2,convenient,convenient,slightly_prob,priority,recommend
59,59,59,59,59,59,usual,proper,complete,2,convenient,convenient,slightly_prob,not_recom,not_recommend
60,60,60,60,60,60,usual,proper,complete,2,convenient,convenient,problematic,recommended,recommend
61,61,61,61,61,61,usual,proper,complete,2,convenient,convenient,problematic,priority,recommend
62,62,62,62,62,62,usual,proper,complete,2,convenient,convenient,problematic,not_recom,not_recommend
63,63,63,63,63,63,usual,proper,complete,2,convenient,inconv,nonprob,recommended,recommend
64,64,64,64,64,64,usual,proper,complete,2,convenient,inconv,nonprob,priority,recommend
65,65,65,65,65,65,usual,proper,complete,2,convenient,inconv,nonprob,not_recom,not_recommend
66,66,66,66,66,66,usual,proper,complete,2,convenient,inconv,slightly_prob,recommended,recommend
67,67,67,67,67,67,usual,proper,complete,2,convenient,inconv,slightly_prob,priority,recommend
68,68,68,68,68,68,usual,proper,complete,2,convenient,inconv,slightly_prob,not_recom,not_recommend
69,69,69,69,69,69,usual,proper,complete,2,convenient,inconv,problematic,recommended,recommend
70,70,70,70,70,70,usual,proper,complete,2,convenient,inconv,problematic,priority,recommend
71,71,71,71,71,71,usual,proper,complete,2,convenient,inconv,problematic,not_recom,not_recommend
72,72,72,72,72,72,usual,proper,complete,2,less_conv,convenient,nonprob,recommended,recommend
73,73,73,73,73,73,usual,proper,complete,2,less_conv,convenient,nonprob,priority,recommend
74,74,74,74,74,74,usual,proper,complete,2,less_conv,convenient,nonprob,not_recom,not_recommend
75,75,75,75,75,75,usual,proper,complete,2,less_conv,convenient,slightly_prob,recommended,recommend
76,76,76,76,76,76,usual,proper,complete,2,less_conv,convenient,slightly_prob,priority,recommend
77,77,77,77,77,77,usual,proper,complete,2,less_conv,convenient,slightly_prob,not_recom,not_recommend
78,78,78,78,78,78,usual,proper,complete,2,less_conv,convenient,problematic,recommended,recommend
79,79,79,79,79,79,usual,proper,complete,2,less_conv,convenient,problematic,priority,recommend
80,80,80,80,80,80,usual,proper,complete,2,less_conv,convenient,problematic,not_recom,not_recommend
81,81,81,81,81,81,usual,proper,complete,2,less_conv,inconv,nonprob,recommended,recommend
82,82,82,82,82,82,usual,proper,complete,2,less_conv,inconv,nonprob,priority,recommend
83,83,83,83,83,83,usual,proper,complete,2,less_conv,inconv,nonprob,not_recom,not_recommend
84,84,84,84,84,84,usual,proper,complete,2,less_conv,inconv,slightly_prob,recommended,recommend
85,85,85,85,85,85,usual,proper,complete,2,less_conv,inconv,slightly_prob,priority,recommend
86,86,86,86,86,86,usual,proper,complete,2,less_conv,inconv,slightly_prob,not_recom,not_recommend
87,87,87,87,87,87,usual,proper,complete,2,less_conv,inconv,problematic,recommended,recommend
88,88,88,88,88,88,usual,proper,complete,2,less_conv,inconv,problematic,priority,recommend
89,89,89,89,89,89,usual,proper,complete,2,less_conv,inconv,problematic,not_recom,not_recommend
90,90,90,90,90,90,usual,proper,complete,2,critical,convenient,nonprob,recommended,recommend
91,91,91,91,91,91,usual,proper,complete,2,critical,convenient,nonprob,priority,recommend
92,92,92,92,92,92,usual,proper,complete,2,critical,convenient,nonprob,not_recom,not_recommend
93,93,93,93,93,93,usual,proper,complete,2,critical,convenient,slightly_prob,recommended,recommend
94,94,94,94,94,94,usual,proper,complete,2,critical,convenient,slightly_prob,priority,recommend
95,95,95,95,95,95,usual,proper,complete,2,critical,convenient,slightly_prob,not_recom,not_recommend
96,96,96,96,96,96,usual,proper,complete,2,critical,convenient,problematic,recommended,recommend
97,97,97,97,97,97,usual,proper,complete,2,critical,convenient,problematic,priority,recommend
98,98,98,98,98,98,usual,proper,complete,2,critical,convenient,problematic,not_recom,not_recommend
99,99,99,99,99,99,usual,proper,complete,2,critical,inconv,nonprob,recommended,recommend
100,100,100,100,100,100,usual,proper,complete,2,critical,inconv,nonprob,priority,recommend
101,101,101,101,101,101,usual,proper,complete,2,critical,inconv,nonprob,not_recom,not_recommend
102,102,102,102,102,102,usual,proper,complete,2,critical,inconv,slightly_prob,recommended,recommend
103,103,103,103,103,103,usual,proper,complete,2,critical,inconv,slightly_prob,priority,recommend
104,104,104,104,104,104,usual,proper,complete,2,critical,inconv,slightly_prob,not_recom,not_recommend
105,105,105,105,105,105,usual,proper,complete,2,critical,inconv,problematic,recommended,recommend
106,106,106,106,106,106,usual,proper,complete,2,critical,inconv,problematic,priority,recommend
107,107,107,107,107,107,usual,proper,complete,2,critical,inconv,problematic,not_recom,not_recommend
108,108,108,108,108,108,usual,proper,complete,3,convenient,convenient,nonprob,recommended,recommend
109,109,109,109,109,109,usual,proper,complete,3,convenient,convenient,nonprob,priority,recommend
110,110,110,110,110,110,usual,proper,complete,3,convenient,convenient,nonprob,not_recom,not_recommend
111,111,111,111,111,111,usual,proper,complete,3,convenient,convenient,slightly_prob,recommended,recommend
112,112,112,112,112,112,usual,proper,complete,3,convenient,convenient,slightly_prob,priority,recommend
113,113,113,113,113,113,usual,proper,complete,3,convenient,convenient,slightly_prob,not_recom,not_recommend
114,114,114,114,114,114,usual,proper,complete,3,convenient,convenient,problematic,recommended,recommend
115,115,115,115,115,115,usual,proper,complete,3,convenient,convenient,problematic,priority,recommend
116,116,116,116,116,116,usual,proper,complete,3,convenient,convenient,problematic,not_recom,not_recommend
117,117,117,117,117,117,usual,proper,complete,3,convenient,inconv,nonprob,recommended,recommend
118,118,118,118,118,118,usual,proper,complete,3,convenient,inconv,nonprob,priority,recommend
119,119,119,119,119,119,usual,proper,complete,3,convenient,inconv,nonprob,not_recom,not_recommend
120,120,120,120,120,120,usual,proper,complete,3,convenient,inconv,slightly_prob,recommended,recommend
121,121,121,121,121,121,usual,proper,complete,3,convenient,inconv,slightly_prob,priority,recommend
122,122,122,122,122,122,usual,proper,complete,3,convenient,inconv,slightly_prob,not_recom,not_recommend
123,123,123,123,123,123,usual,proper,complete,3,convenient,inconv,problematic,recommended,recommend
124,124,124,124,124,124,usual,proper,complete,3,convenient,inconv,problematic,priority,recommend
125,125,125,125,125,125,usual,proper,complete,3,convenient,inconv,problematic,not_recom,not_recommend
126,126,126,126,126,126,usual,proper,complete,3,less_conv,convenient,nonprob,recommended,recommend
127,127,127,127,127,127,usual,proper,complete,3,less_conv,convenient,nonprob,priority,recommend
128,128,128,128,128,128,usual,proper,complete,3,less_conv,convenient,nonprob,not_recom,not_recommend
129,129,129,129,129,129,usual,proper,complete,3,less_conv,convenient,slightly_prob,recommended,recommend
130,130,130,130,130,130,usual,proper,complete,3,less_conv,convenient,slightly_prob,priority,recommend
131,131,131,131,131,131,usual,proper,complete,3,less_conv,convenient,slightly_prob,not_recom,not_recommend
132,132,132,132,132,132,usual,proper,complete,3,less_conv,convenient,problematic,recommended,recommend
133,133,133,133,133,133,usual,proper,complete,3,less_conv,convenient,problematic,priority,recommend
134,134,134,134,134,134,usual,proper,complete,3,less_conv,convenient,problematic,not_recom,not_recommend
135,135,135,135,135,135,usual,proper,complete,3,less_conv,inconv,nonprob,recommended,recommend
136,136,136,136,136,136,usual,proper,complete,3,less_conv,inconv,nonprob,priority,recommend
137,137,137,137,137,137,usual,proper,complete,3,less_conv,inconv,nonprob,not_recom,not_recommend
138,138,138,138,138,138,usual,proper,complete,3,less_conv,inconv,slightly_prob,recommended,recommend
139,139,139,139,139,139,usual,proper,complete,3,less_conv,inconv,slightly_prob,priority,recommend
140,140,140,140,140,140,usual,proper,complete,3,less_conv,inconv,slightly_prob,not_recom,not_recommend
141,141,141,141,141,141,usual,proper,complete,3,less_conv,inconv,problematic,recommended,recommend
142,142,142,142,142,142,usual,proper,complete,3,less_conv,inconv,problematic,priority,recommend
143,143,143,143,143,143,usual,proper,complete,3,less_conv,inconv,problematic,not_recom,not_recommend
144,144,144,144,144,144,usual,proper,complete,3,critical,convenient,nonprob,recommended,recommend
145,145,145,145,145,145,usual,proper,complete,3,critical,convenient,nonprob,priority,recommend
146,146,146,146,146,146,usual,proper,complete,3,critical,convenient,nonprob,not_recom,not_recommend
147,147,147,147,147,147,usual,proper,complete,3,critical,convenient,slightly_prob,recommended,recommend
148,148,148,148,148,148,usual,proper,complete,3,critical,convenient,slightly_prob,priority,recommend
149,149,149,149,149,149,usual,proper,complete,3,critical,convenient,slightly_prob,not_recom,not_recommend
150,150,150,150,150,150,usual,proper,complete,3,critical,convenient,problematic,recommended,recommend
151,151,151,151,151,151,usual,proper,complete,3,critical,convenient,problematic,priority,recommend
152,152,152,152,152,152,usual,proper,complete,3,critical,convenient,problematic,not_recom,not_recommend
153,153,153,153,153,153,usual,proper,complete,3,critical,inconv,nonprob,recommended,recommend
154,154,154,154,154,154,usual,proper,complete,3,critical,inconv,nonprob,priority,recommend
155,155,155,155,155,155,usual,proper,complete,3,critical,inconv,nonprob,not_recom,not_recommend
156,156,156,156,156,156,usual,proper,complete,3,critical,inconv,slightly_prob,recommended,recommend
157,157,157,157,157,157,usual,proper,complete,3,critical,inconv,slightly_prob,priority,recommend
158,158,158,158,158,158,usual,proper,complete,3,critical,inconv,slightly_prob,not_recom,not_recommend
159,159,159,159,159,159,usual,proper,complete,3,critical,inconv,problematic,recommended,recommend
160,160,160,160,160,160,usual,proper,complete,3,critical,inconv,problematic,priority,recommend
161,161,161,161,161,161,usual,proper,complete,3,critical,inconv,problematic,not_recom,not_recommend
162,162,162,162,162,162,usual,proper,complete,more,convenient,convenient,nonprob,recommended,recommend
163,163,163,163,163,163,usual,proper,complete,more,convenient,convenient,nonprob,priority,recommend
164,164,164,164,164,164,usual,proper,complete,more,convenient,convenient,nonprob,not_recom,not_recommend
165,165,165,165,165,165,usual,proper,complete,more,convenient,convenient,slightly_prob,recommended,recommend
166,166,166,166,166,166,usual,proper,complete,more,convenient,convenient,slightly_prob,priority,recommend
167,167,167,167,167,167,usual,proper,complete,more,convenient,convenient,slightly_prob,not_recom,not_recommend
168,168,168,168,168,168,usual,proper,complete,more,convenient,convenient,problematic,recommended,recommend
169,169,169,169,169,169,usual,proper,complete,more,convenient,convenient,problematic,priority,recommend
170,170,170,170,170,170,usual,proper,complete,more,convenient,convenient,problematic,not_recom,not_recommend
171,171,171,171,171,171,usual,proper,complete,more,convenient,inconv,nonprob,recommended,recommend
172,172,172,172,172,172,usual,proper,complete,more,convenient,inconv,nonprob,priority,recommend
173,173,173,173,173,173,usual,proper,complete,more,convenient,inconv,nonprob,not_recom,not_recommend
174,174,174,174,174,174,usual,proper,complete,more,convenient,inconv,slightly_prob,recommended,recommend
175,175,175,175,175,175,usual,proper,complete,more,convenient,inconv,slightly_prob,priority,recommend
176,176,176,176,176,176,usual,proper,complete,more,convenient,inconv,slightly_prob,not_recom,not_recommend
177,177,177,177,177,177,usual,proper,complete,more,convenient,inconv,problematic,recommended,recommend
178,178,178,178,178,178,usual,proper,complete,more,convenient,inconv,problematic,priority,recommend
179,179,179,179,179,179,usual,proper,complete,more,convenient,inconv,problematic,not_recom,not_recommend
180,180,180,180,180,180,usual,proper,complete,more,less_conv,convenient,nonprob,recommended,recommend
181,181,181,181,181,181,usual,proper,complete,more,less_conv,convenient,nonprob,priority,recommend
182,182,182,182,182,182,usual,proper,complete,more,less_conv,convenient,nonprob,not_recom,not_recommend
183,183,183,183,183,183,usual,proper,complete,more,less_conv,convenient,slightly_prob,recommended,recommend
184,184,184,184,184,184,usual,proper,complete,more,less_conv,convenient,slightly_prob,priority,recommend
185,185,185,185,185,185,usual,proper,complete,more,less_conv,convenient,slightly_prob,not_recom,not_recommend
186,186,186,186,186,186,usual,proper,complete,more,less_conv,convenient,problematic,recommended,recommend
187,187,187,187,187,187,usual,proper,complete,more,less_conv,convenient,problematic,priority,recommend
188,188,188,188,188,188,usual,proper,complete,more,less_conv,convenient,problematic,not_recom,not_recommend
189,189,189,189,189,189,usual,proper,complete,more,less_conv,inconv,nonprob,recommended,recommend
190,190,190,190,190,190,usual,proper,complete,more,less_conv,inconv,nonprob,priority,recommend
191,191,191,191,191,191,usual,proper,complete,more,less_conv,inconv,nonprob,not_recom,not_recommend
192,192,192,192,192,192,usual,proper,complete,more,less_conv,inconv,slightly_prob,recommended,recommend
193,193,193,193,193,193,usual,proper,complete,more,less_conv,inconv,slightly_prob,priority,recommend
194,194,194,194,194,194,usual,proper,complete,more,less_conv,inconv,slightly_prob,not_recom,not_recommend
195,195,195,195,195,195,usual,proper,complete,more,less_conv,inconv,problematic,recommended,recommend
196,196,196,196,196,196,usual,proper,complete,more,less_conv,inconv,problematic,priority,recommend
197,197,197,197,197,197,usual,proper,complete,more,less_conv,inconv,problematic,not_recom,not_recommend
198,198,198,198,198,198,usual,proper,complete,more,critical,convenient,nonprob,recommended,recommend
199,199,199,199,199,199,usual,proper,complete,more,critical,convenient,nonprob,priority,recommend
200,200,200,200,200,200,usual,proper,complete,more,critical,convenient,nonprob,not_recom,not_recommend
201,201,201,201,201,201,usual,proper,complete,more,critical,convenient,slightly_prob,recommended,recommend
202,202,202,202,202,202,usual,proper,complete,more,critical,convenient,slightly_prob,priority,recommend
203,203,203,203,203,203,usual,proper,complete,more,critical,convenient,slightly_prob,not_recom,not_recommend
204,204,204,204,204,204,usual,proper,complete,more,critical,convenient,problematic,recommended,recommend
205,205,205,205,205,205,usual,proper,complete,more,critical,convenient,problematic,priority,recommend
206,206,206,206,206,206,usual,proper,complete,more,critical,convenient,problematic,not_recom,not_recommend
207,207,207,207,207,207,usual,proper,complete,more,critical,inconv,nonprob,recommended,recommend
208,208,208,208,208,208,usual,proper,complete,more,critical,inconv,nonprob,priority,recommend
209,209,209,209,209,209,usual,proper,complete,more,critical,inconv,nonprob,not_recom,not_recommend
210,210,210,210,210,210,usual,proper,complete,more,critical,inconv,slightly_prob,recommended,recommend
211,211,211,211,211,211,usual,proper,complete,more,critical,inconv,slightly_prob,priority,recommend
212,212,212,212,212,212,usual,proper,complete,more,critical,inconv,slightly_prob,not_recom,not_recommend
213,213,213,213,213,213,usual,proper,complete,more,critical,inconv,problematic,recommended,recommend
214,214,214,214,214,214,usual,proper,complete,more,critical,inconv,problematic,priority,recommend
215,215,215,215,215,215,usual,proper,complete,more,critical,inconv,problematic,not_recom,not_recommend
216,216,216,216,216,216,usual,proper,completed,1,convenient,convenient,nonprob,recommended,recommend
217,217,217,217,217,217,usual,proper,completed,1,convenient,convenient,nonprob,priority,recommend
218,218,218,218,218,218,usual,proper,completed,1,convenient,convenient,nonprob,not_recom,not_recommend
219,219,219,219,219,219,usual,proper,completed,1,convenient,convenient,slightly_prob,recommended,recommend
220,220,220,220,220,220,usual,proper,completed,1,convenient,convenient,slightly_prob,priority,recommend
221,221,221,221,221,221,usual,proper,completed,1,convenient,convenient,slightly_prob,not_recom,not_recommend
222,222,222,222,222,222,usual,proper,completed,1,convenient,convenient,problematic,recommended,recommend
223,223,223,223,223,223,usual,proper,completed,1,convenient,convenient,problematic,priority,recommend
224,224,224,224,224,224,usual,proper,completed,1,convenient,convenient,problematic,not_recom,not_recommend
225,225,225,225,225,225,usual,proper,completed,1,convenient,inconv,nonprob,recommended,recommend
226,226,226,226,226,226,usual,proper,completed,1,convenient,inconv,nonprob,priority,recommend
227,227,227,227,227,227,usual,proper,completed,1,convenient,inconv,nonprob,not_recom,not_recommend
228,228,228,228,228,228,usual,proper,completed,1,convenient,inconv,slightly_prob,recommended,recommend
229,229,229,229,229,229,usual,proper,completed,1,convenient,inconv,slightly_prob,priority,recommend
230,230,230,230,230,230,usual,proper,completed,1,convenient,inconv,slightly_prob,not_recom,not_recommend
231,231,231,231,231,231,usual,proper,completed,1,convenient,inconv,problematic,recommended,recommend
232,232,232,232,232,232,usual,proper,completed,1,convenient,inconv,problematic,priority,recommend
233,233,233,233,233,233,usual,proper,completed,1,convenient,inconv,problematic,not_recom,not_recommend
234,234,234,234,234,234,usual,proper,completed,1,less_conv,convenient,nonprob,recommended,recommend
235,235,235,235,235,235,usual,proper,completed,1,less_conv,convenient,nonprob,priority,recommend
236,236,236,236,236,236,usual,proper,completed,1,less_conv,convenient,nonprob,not_recom,not_recommend
237,237,237,237,237,237,usual,proper,completed,1,less_conv,convenient,slightly_prob,recommended,recommend
238,238,238,238,238,238,usual,proper,completed,1,less_conv,convenient,slightly_prob,priority,recommend
239,239,239,239,239,239,usual,proper,completed,1,less_conv,convenient,slightly_prob,not_recom,not_recommend
240,240,240,240,240,240,usual,proper,completed,1,less_conv,convenient,problematic,recommended,recommend
241,241,241,241,241,241,usual,proper,completed,1,less_conv,convenient,problematic,priority,recommend
242,242,242,242,242,242,usual,proper,completed,1,less_conv,convenient,problematic,not_recom,not_recommend
243,243,243,243,243,243,usual,proper,completed,1,less_conv,inconv,nonprob,recommended,recommend
244,244,244,244,244,244,usual,proper,completed,1,less_conv,inconv,nonprob,priority,recommend
245,245,245,245,245,245,usual,proper,completed,1,less_conv,inconv,nonprob,not_recom,not_recommend
246,246,246,246,246,246,usual,proper,completed,1,less_conv,inconv,slightly_prob,recommended,recommend
247,247,247,247,247,247,usual,proper,completed,1,less_conv,inconv,slightly_prob,priority,recommend
248,248,248,248,248,248,usual,proper,completed,1,less_conv,inconv,slightly_prob,not_recom,not_recommend
249,249,249,249,249,249,usual,proper,completed,1,less_conv,inconv,problematic,recommended,recommend
250,250,250,250,250,250,usual,proper,completed,1,less_conv,inconv,problematic,priority,recommend
251,251,251,251,251,251,usual,proper,completed,1,less_conv,inconv,problematic,not_recom,not_recommend
252,252,252,252,252,252,usual,proper,completed,1,critical,convenient,nonprob,recommended,recommend
253,253,253,253,253,253,usual,proper,completed,1,critical,convenient,nonprob,priority,recommend
254,254,254,254,254,254,usual,proper,completed,1,critical,convenient,nonprob,not_recom,not_recommend
255,255,255,255,255,255,usual,proper,completed,1,critical,convenient,slightly_prob,recommended,recommend
256,256,256,256,256,256,usual,proper,completed,1,critical,convenient,slightly_prob,priority,recommend
257,257,257,257,257,257,usual,proper,completed,1,critical,convenient,slightly_prob,not_recom,not_recommend
258,258,258,258,258,258,usual,proper,completed,1,critical,convenient,problematic,recommended,recommend
259,259,259,259,259,259,usual,proper,completed,1,critical,convenient,problematic,priority,recommend
260,260,260,260,260,260,usual,proper,completed,1,critical,convenient,problematic,not_recom,not_recommend
261,261,261,261,261,261,usual,proper,completed,1,critical,inconv,nonprob,recommended,recommend
262,262,262,262,262,262,usual,proper,completed,1,critical,inconv,nonprob,priority,recommend
263,263,263,263,263,263,usual,proper,completed,1,critical,inconv,nonprob,not_recom,not_recommend
264,264,264,264,264,264,usual,proper,completed,1,critical,inconv,slightly_prob,recommended,recommend
265,265,265,265,265,265,usual,proper,completed,1,critical,inconv,slightly_prob,priority,recommend
266,266,266,266,266,266,usual,proper,completed,1,critical,inconv,slightly_prob,not_recom,not_recommend
267,267,267,267,267,267,usual,proper,completed,1,critical,inconv,problematic,recommended,recommend
268,268,268,268,268,268,usual,proper,completed,1,critical,inconv,problematic,priority,recommend
269,269,269,269,269,269,usual,proper,completed,1,critical,inconv,problematic,not_recom,not_recommend
270,270,270,270,270,270,usual,proper,completed,2,convenient,convenient,nonprob,recommended,recommend
271,271,271,271,271,271,usual,proper,completed,2,convenient,convenient,nonprob,priority,recommend
272,272,272,272,272,272,usual,proper,completed,2,convenient,convenient,nonprob,not_recom,not_recommend
273,273,273,273,273,273,usual,proper,completed,2,convenient,convenient,slightly_prob,recommended,recommend
274,274,274,274,274,274,usual,proper,completed,2,convenient,convenient,slightly_prob,priority,recommend
275,275,275,275,275,275,usual,proper,completed,2,convenient,convenient,slightly_prob,not_recom,not_recommend
276,276,276,276,276,276,usual,proper,completed,2,convenient,convenient,problematic,recommended,recommend
277,277,277,277,277,277,usual,proper,completed,2,convenient,convenient,problematic,priority,recommend
278,278,278,278,278,278,usual,proper,completed,2,convenient,convenient,problematic,not_recom,not_recommend
279,279,279,279,279,279,usual,proper,completed,2,convenient,inconv,nonprob,recommended,recommend
280,280,280,280,280,280,usual,proper,completed,2,convenient,inconv,nonprob,priority,recommend
281,281,281,281,281,281,usual,proper,completed,2,convenient,inconv,nonprob,not_recom,not_recommend
282,282,282,282,282,282,usual,proper,completed,2,convenient,inconv,slightly_prob,recommended,recommend
283,283,283,283,283,283,usual,proper,completed,2,convenient,inconv,slightly_prob,priority,recommend
284,284,284,284,284,284,usual,proper,completed,2,convenient,inconv,slightly_prob,not_recom,not_recommend
285,285,285,285,285,285,usual,proper,completed,2,convenient,inconv,problematic,recommended,recommend
286,286,286,286,286,286,usual,proper,completed,2,convenient,inconv,problematic,priority,recommend
287,287,287,287,287,287,usual,proper,completed,2,convenient,inconv,problematic,not_recom,not_recommend
288,288,288,288,288,288,usual,proper,completed,2,less_conv,convenient,nonprob,recommended,recommend
289,289,289,289,289,289,usual,proper,completed,2,less_conv,convenient,nonprob,priority,recommend
290,290,290,290,290,290,usual,proper,completed,2,less_conv,convenient,nonprob,not_recom,not_recommend
291,291,291,291,291,291,usual,proper,completed,2,less_conv,convenient,slightly_prob,recommended,recommend
292,292,292,292,292,292,usual,proper,completed,2,less_conv,convenient,slightly_prob,priority,recommend
293,293,293,293,293,293,usual,proper,completed,2,less_conv,convenient,slightly_prob,not_recom,not_recommend
294,294,294,294,294,294,usual,proper,completed,2,less_conv,convenient,problematic,recommended,recommend
295,295,295,295,295,295,usual,proper,completed,2,less_conv,convenient,problematic,priority,recommend
296,296,296,296,296,296,usual,proper,completed,2,less_conv,convenient,problematic,not_recom,not_recommend
297,297,297,297,297,297,usual,proper,completed,2,less_conv,inconv,nonprob,recommended,recommend
298,298,298,298,298,298,usual,proper,completed,2,less_conv,inconv,nonprob,priority,recommend
299,299,299,299,299,299,usual,proper,completed,2,less_conv,inconv,nonprob,not_recom,not_recommend
300,300,300,300,300,300,usual,proper,completed,2,less_conv,inconv,slightly_prob,recommended,recommend
301,301,301,301,301,301,usual,proper,completed,2,less_conv,inconv,slightly_prob,priority,recommend
302,302,302,302,302,302,usual,proper,completed,2,less_conv,inconv,slightly_prob,not_recom,not_recommend
303,303,303,303,303,303,usual,proper,completed,2,less_conv,inconv,problematic,recommended,recommend
304,304,304,304,304,304,usual,proper,completed,2,less_conv,inconv,problematic,priority,recommend
305,305,305,305,305,305,usual,proper,completed,2,less_conv,inconv,problematic,not_recom,not_recommend
